factor,variable,vif,n_obs,status,reason
FAC_rank_vol_m3_n6_pairwise1,FAC_rank_vol_m3_n6_pairwise1,1.0312490198226705,16933,ok,
FAC_rank_vol_m3_n6_pairwise1,CtrlRetSTR,1.0047450783011507,16933,ok,
FAC_rank_vol_m3_n6_pairwise1,CtrlRetLTM,1.032135390743089,16933,ok,
FAC_rank_vol_m3_n6_pairwise1,CtrlVol,1.0645092915048535,16933,ok,
FAC_rank_vol_m3_n6_pairwise1,as_偏股混合型基金,1.131515330295563,16933,ok,
FAC_rank_vol_m3_n6_pairwise1,Ctrl_log_fund_size,1.0525319902220092,16933,ok,
FAC_rank_vol_m3_n6_pairwise1,Ctrl_fund_age,1.136080966115105,16933,ok,
FAC_rank_vol_m6_n3_pairwise1,FAC_rank_vol_m6_n3_pairwise1,1.0452463130648022,16931,ok,
FAC_rank_vol_m6_n3_pairwise1,CtrlRetSTR,1.0069429058050055,16931,ok,
FAC_rank_vol_m6_n3_pairwise1,CtrlRetLTM,1.0287242687646359,16931,ok,
FAC_rank_vol_m6_n3_pairwise1,CtrlVol,1.0766433408575393,16931,ok,
FAC_rank_vol_m6_n3_pairwise1,as_偏股混合型基金,1.1284969241762353,16931,ok,
FAC_rank_vol_m6_n3_pairwise1,Ctrl_log_fund_size,1.0505635052032911,16931,ok,
FAC_rank_vol_m6_n3_pairwise1,Ctrl_fund_age,1.1335876172629862,16931,ok,
FAC_rank_vol_m6_n6_pairwise1,FAC_rank_vol_m6_n6_pairwise1,1.0665181619650677,14497,ok,
FAC_rank_vol_m6_n6_pairwise1,CtrlRetSTR,1.0044795127231907,14497,ok,
FAC_rank_vol_m6_n6_pairwise1,CtrlRetLTM,1.0365266103625694,14497,ok,
FAC_rank_vol_m6_n6_pairwise1,CtrlVol,1.097136602722549,14497,ok,
FAC_rank_vol_m6_n6_pairwise1,as_偏股混合型基金,1.1561244867163902,14497,ok,
FAC_rank_vol_m6_n6_pairwise1,Ctrl_log_fund_size,1.050898372327533,14497,ok,
FAC_rank_vol_m6_n6_pairwise1,Ctrl_fund_age,1.1569651113797657,14497,ok,
FAC_rank_vol_m6_n12_pairwise1,FAC_rank_vol_m6_n12_pairwise1,1.0689937528092854,10828,ok,
FAC_rank_vol_m6_n12_pairwise1,CtrlRetSTR,1.00543546267411,10828,ok,
FAC_rank_vol_m6_n12_pairwise1,CtrlRetLTM,1.0492333465667372,10828,ok,
FAC_rank_vol_m6_n12_pairwise1,CtrlVol,1.0825838956374398,10828,ok,
FAC_rank_vol_m6_n12_pairwise1,as_偏股混合型基金,1.1990553878631032,10828,ok,
FAC_rank_vol_m6_n12_pairwise1,Ctrl_log_fund_size,1.0513967575777836,10828,ok,
FAC_rank_vol_m6_n12_pairwise1,Ctrl_fund_age,1.1974047987905312,10828,ok,
FAC_rank_vol_m12_n6_pairwise1,FAC_rank_vol_m12_n6_pairwise1,1.0784467889340408,10828,ok,
FAC_rank_vol_m12_n6_pairwise1,CtrlRetSTR,1.0051715057275383,10828,ok,
FAC_rank_vol_m12_n6_pairwise1,CtrlRetLTM,1.0307975077027636,10828,ok,
FAC_rank_vol_m12_n6_pairwise1,CtrlVol,1.1107242165408817,10828,ok,
FAC_rank_vol_m12_n6_pairwise1,as_偏股混合型基金,1.1981238954458915,10828,ok,
FAC_rank_vol_m12_n6_pairwise1,Ctrl_log_fund_size,1.0512099532305879,10828,ok,
FAC_rank_vol_m12_n6_pairwise1,Ctrl_fund_age,1.1948927449423543,10828,ok,
