factor,variable,mean_vif,median_vif,p90_vif,max_vif,ok_months,failed_or_skipped_months
FAC_rank_vol_m3_n6_pairwise1,CtrlRetLTM,1.496901320763811,1.4147601799931178,1.8727157029808217,3.040472936826754,105,99
FAC_rank_vol_m3_n6_pairwise1,CtrlRetSTR,1.341721779029442,1.2542791443874148,1.719869412775493,2.3170921463122967,105,99
FAC_rank_vol_m3_n6_pairwise1,CtrlVol,1.4424244747039678,1.3431990696719198,1.7998205021489393,2.5864633686603247,105,99
FAC_rank_vol_m3_n6_pairwise1,Ctrl_fund_age,1.6656657116092788,1.6829352054499185,2.042702258736573,2.253869072112437,105,99
FAC_rank_vol_m3_n6_pairwise1,Ctrl_log_fund_size,1.3355516150468405,1.161490956798661,1.9923987408722506,2.17962394305944,105,99
FAC_rank_vol_m3_n6_pairwise1,FAC_rank_vol_m3_n6_pairwise1,1.3926680304925216,1.3361043204400653,1.6687960557054564,2.3937274354018467,105,99
FAC_rank_vol_m3_n6_pairwise1,as_偏股混合型基金,1.4116593705195528,1.3607523844615956,1.773692753424165,2.037783284895335,105,99
FAC_rank_vol_m6_n3_pairwise1,CtrlRetLTM,1.456619343990034,1.375475027813208,1.8872413704741413,3.459225471016143,105,99
FAC_rank_vol_m6_n3_pairwise1,CtrlRetSTR,1.298210350725035,1.2272350339560392,1.5642696565835332,2.2292904876535506,105,99
FAC_rank_vol_m6_n3_pairwise1,CtrlVol,1.5380931438762386,1.4394567747151248,1.9892365453929095,3.1288984580246324,105,99
FAC_rank_vol_m6_n3_pairwise1,Ctrl_fund_age,1.6603884651610274,1.6740921131592328,2.059758584823842,2.38393900883049,105,99
FAC_rank_vol_m6_n3_pairwise1,Ctrl_log_fund_size,1.3413905410864948,1.1640168336665115,1.9725765612151904,2.3491401363541238,105,99
FAC_rank_vol_m6_n3_pairwise1,FAC_rank_vol_m6_n3_pairwise1,1.3842264931023485,1.2658796597390718,1.7708916912367227,3.2101061165854428,105,99
FAC_rank_vol_m6_n3_pairwise1,as_偏股混合型基金,1.4007551774221543,1.3613347468825447,1.7669846538969503,2.0324183312533144,105,99
FAC_rank_vol_m6_n6_pairwise1,CtrlRetLTM,1.5749210065594894,1.5426156853414958,1.890537807866904,3.0147162577927014,91,103
FAC_rank_vol_m6_n6_pairwise1,CtrlRetSTR,1.2932343616714237,1.2325292196366997,1.53397494431195,2.2022499577499564,91,103
FAC_rank_vol_m6_n6_pairwise1,CtrlVol,1.4680174288714034,1.3834353164813198,1.8312954648055983,2.710852236794216,91,103
FAC_rank_vol_m6_n6_pairwise1,Ctrl_fund_age,1.6786400917366437,1.719385751406361,2.035303088695218,2.4713733907972184,91,103
FAC_rank_vol_m6_n6_pairwise1,Ctrl_log_fund_size,1.3080437588349736,1.1470659186418302,1.8544074677019062,2.446927514963552,91,103
FAC_rank_vol_m6_n6_pairwise1,FAC_rank_vol_m6_n6_pairwise1,1.5606192257360443,1.5312638624135542,1.9124065456823889,2.4902736170157147,91,103
FAC_rank_vol_m6_n6_pairwise1,as_偏股混合型基金,1.4654203928926655,1.4315625224826474,1.7890555370459744,2.0119296325716247,91,103
FAC_rank_vol_m6_n12_pairwise1,CtrlRetLTM,1.5567401990777878,1.5503515639374665,1.8449311412219491,2.2878971946657343,60,127
FAC_rank_vol_m6_n12_pairwise1,CtrlRetSTR,1.276864364001685,1.2512019491772204,1.4923447906874359,1.770754129223477,60,127
FAC_rank_vol_m6_n12_pairwise1,CtrlVol,1.4153624266763187,1.3637806102059524,1.7120671669581726,2.333414324653545,60,127
FAC_rank_vol_m6_n12_pairwise1,Ctrl_fund_age,1.6888714051050833,1.6802834871764807,2.024080258708038,2.210254688739723,60,127
FAC_rank_vol_m6_n12_pairwise1,Ctrl_log_fund_size,1.1263622941277731,1.128473799770889,1.204666018130518,1.2934520892221457,60,127
FAC_rank_vol_m6_n12_pairwise1,FAC_rank_vol_m6_n12_pairwise1,1.5015786087714296,1.4625451015408655,1.8492226402801781,2.133650257537131,60,127
FAC_rank_vol_m6_n12_pairwise1,as_偏股混合型基金,1.64502345833939,1.6505975218186482,2.0094202703225794,2.172248633143669,60,127
FAC_rank_vol_m12_n6_pairwise1,CtrlRetLTM,1.3708606390428986,1.322097657413452,1.6786037262603841,1.9287911932395951,60,127
FAC_rank_vol_m12_n6_pairwise1,CtrlRetSTR,1.2856564880745591,1.2408477633764559,1.4855074526024452,1.7545505578352047,60,127
FAC_rank_vol_m12_n6_pairwise1,CtrlVol,1.5153524816556394,1.441914697975925,1.935450478467072,2.970395324406065,60,127
FAC_rank_vol_m12_n6_pairwise1,Ctrl_fund_age,1.6755527856008443,1.6615979192127062,2.0258485482969872,2.3432692586275268,60,127
FAC_rank_vol_m12_n6_pairwise1,Ctrl_log_fund_size,1.132369089339469,1.131973045422793,1.2398489753052928,1.3300185882938544,60,127
FAC_rank_vol_m12_n6_pairwise1,FAC_rank_vol_m12_n6_pairwise1,1.4454550820748724,1.4055436093839415,1.8255849573736929,2.0386788239034,60,127
FAC_rank_vol_m12_n6_pairwise1,as_偏股混合型基金,1.643647827909524,1.6386615524750934,1.954273251795261,2.334156538387283,60,127
