factor,row_variable,col_variable,mean_corr,p_value,stars,n_months
FAC_rank_vol_m3_n6_pairwise1,FAC_rank_vol_m3_n6_pairwise1,FAC_rank_vol_m3_n6_pairwise1,1.0,,,107
FAC_rank_vol_m3_n6_pairwise1,FAC_rank_vol_m3_n6_pairwise1,CtrlRetSTR,0.09804315205241115,3.0666192169954397e-07,***,107
FAC_rank_vol_m3_n6_pairwise1,FAC_rank_vol_m3_n6_pairwise1,CtrlRetLTM,0.2641023311637661,1.8253838332023895e-33,***,107
FAC_rank_vol_m3_n6_pairwise1,FAC_rank_vol_m3_n6_pairwise1,CtrlVol,-0.12789359148696403,3.7484571827850315e-09,***,107
FAC_rank_vol_m3_n6_pairwise1,FAC_rank_vol_m3_n6_pairwise1,as_偏股混合型基金,-0.005495455128927628,0.6904541737636258,,107
FAC_rank_vol_m3_n6_pairwise1,FAC_rank_vol_m3_n6_pairwise1,Ctrl_log_fund_size,0.06256348611775622,2.2221204494059887e-09,***,107
FAC_rank_vol_m3_n6_pairwise1,FAC_rank_vol_m3_n6_pairwise1,Ctrl_fund_age,0.016895746603632477,0.16722370160589775,,107
FAC_rank_vol_m3_n6_pairwise1,CtrlRetSTR,FAC_rank_vol_m3_n6_pairwise1,0.09804315205241115,3.0666192169954397e-07,***,107
FAC_rank_vol_m3_n6_pairwise1,CtrlRetSTR,CtrlRetSTR,1.0,,,107
FAC_rank_vol_m3_n6_pairwise1,CtrlRetSTR,CtrlRetLTM,-0.032493808712298344,0.1988623128876908,,107
FAC_rank_vol_m3_n6_pairwise1,CtrlRetSTR,CtrlVol,0.009038948821045629,0.7790882947602153,,107
FAC_rank_vol_m3_n6_pairwise1,CtrlRetSTR,as_偏股混合型基金,-0.0005718528345464119,0.9505682321553799,,107
FAC_rank_vol_m3_n6_pairwise1,CtrlRetSTR,Ctrl_log_fund_size,0.030540587434338465,0.018293381481627086,**,107
FAC_rank_vol_m3_n6_pairwise1,CtrlRetSTR,Ctrl_fund_age,-0.027274147338386394,0.03531236964247313,**,107
FAC_rank_vol_m3_n6_pairwise1,CtrlRetLTM,FAC_rank_vol_m3_n6_pairwise1,0.2641023311637661,1.8253838332023895e-33,***,107
FAC_rank_vol_m3_n6_pairwise1,CtrlRetLTM,CtrlRetSTR,-0.032493808712298344,0.1988623128876908,,107
FAC_rank_vol_m3_n6_pairwise1,CtrlRetLTM,CtrlRetLTM,1.0,,,107
FAC_rank_vol_m3_n6_pairwise1,CtrlRetLTM,CtrlVol,0.19124146244524545,1.1736668475428318e-09,***,107
FAC_rank_vol_m3_n6_pairwise1,CtrlRetLTM,as_偏股混合型基金,-0.005696034632547406,0.6427733929747956,,107
FAC_rank_vol_m3_n6_pairwise1,CtrlRetLTM,Ctrl_log_fund_size,0.08041823255278785,1.9860054263555746e-14,***,107
FAC_rank_vol_m3_n6_pairwise1,CtrlRetLTM,Ctrl_fund_age,-0.0900752574392293,4.553426789592165e-13,***,107
FAC_rank_vol_m3_n6_pairwise1,CtrlVol,FAC_rank_vol_m3_n6_pairwise1,-0.12789359148696403,3.7484571827850315e-09,***,107
FAC_rank_vol_m3_n6_pairwise1,CtrlVol,CtrlRetSTR,0.009038948821045629,0.7790882947602153,,107
FAC_rank_vol_m3_n6_pairwise1,CtrlVol,CtrlRetLTM,0.19124146244524545,1.1736668475428318e-09,***,107
FAC_rank_vol_m3_n6_pairwise1,CtrlVol,CtrlVol,1.0,,,107
FAC_rank_vol_m3_n6_pairwise1,CtrlVol,as_偏股混合型基金,-0.03924924166611044,0.0012621251904436914,***,107
FAC_rank_vol_m3_n6_pairwise1,CtrlVol,Ctrl_log_fund_size,-0.07272498273825309,1.2686938955520318e-08,***,107
FAC_rank_vol_m3_n6_pairwise1,CtrlVol,Ctrl_fund_age,-0.09540559866840033,8.618729595482809e-13,***,107
FAC_rank_vol_m3_n6_pairwise1,as_偏股混合型基金,FAC_rank_vol_m3_n6_pairwise1,-0.005495455128927628,0.6904541737636258,,107
FAC_rank_vol_m3_n6_pairwise1,as_偏股混合型基金,CtrlRetSTR,-0.0005718528345464119,0.9505682321553799,,107
FAC_rank_vol_m3_n6_pairwise1,as_偏股混合型基金,CtrlRetLTM,-0.005696034632547406,0.6427733929747956,,107
FAC_rank_vol_m3_n6_pairwise1,as_偏股混合型基金,CtrlVol,-0.03924924166611044,0.0012621251904436914,***,107
FAC_rank_vol_m3_n6_pairwise1,as_偏股混合型基金,as_偏股混合型基金,1.0,,,107
FAC_rank_vol_m3_n6_pairwise1,as_偏股混合型基金,Ctrl_log_fund_size,0.32451016007650496,1.0201248359385613e-33,***,107
FAC_rank_vol_m3_n6_pairwise1,as_偏股混合型基金,Ctrl_fund_age,0.35072325240046764,1.7412602048338055e-29,***,107
FAC_rank_vol_m3_n6_pairwise1,Ctrl_log_fund_size,FAC_rank_vol_m3_n6_pairwise1,0.06256348611775622,2.2221204494059887e-09,***,107
FAC_rank_vol_m3_n6_pairwise1,Ctrl_log_fund_size,CtrlRetSTR,0.030540587434338465,0.018293381481627086,**,107
FAC_rank_vol_m3_n6_pairwise1,Ctrl_log_fund_size,CtrlRetLTM,0.08041823255278785,1.9860054263555746e-14,***,107
FAC_rank_vol_m3_n6_pairwise1,Ctrl_log_fund_size,CtrlVol,-0.07272498273825309,1.2686938955520318e-08,***,107
FAC_rank_vol_m3_n6_pairwise1,Ctrl_log_fund_size,as_偏股混合型基金,0.32451016007650496,1.0201248359385613e-33,***,107
FAC_rank_vol_m3_n6_pairwise1,Ctrl_log_fund_size,Ctrl_log_fund_size,1.0,,,107
FAC_rank_vol_m3_n6_pairwise1,Ctrl_log_fund_size,Ctrl_fund_age,0.7579456565723082,8.348186891571564e-131,***,107
FAC_rank_vol_m3_n6_pairwise1,Ctrl_fund_age,FAC_rank_vol_m3_n6_pairwise1,0.016895746603632477,0.16722370160589775,,107
FAC_rank_vol_m3_n6_pairwise1,Ctrl_fund_age,CtrlRetSTR,-0.027274147338386394,0.03531236964247313,**,107
FAC_rank_vol_m3_n6_pairwise1,Ctrl_fund_age,CtrlRetLTM,-0.0900752574392293,4.553426789592165e-13,***,107
FAC_rank_vol_m3_n6_pairwise1,Ctrl_fund_age,CtrlVol,-0.09540559866840033,8.618729595482809e-13,***,107
FAC_rank_vol_m3_n6_pairwise1,Ctrl_fund_age,as_偏股混合型基金,0.35072325240046764,1.7412602048338055e-29,***,107
FAC_rank_vol_m3_n6_pairwise1,Ctrl_fund_age,Ctrl_log_fund_size,0.7579456565723082,8.348186891571564e-131,***,107
FAC_rank_vol_m3_n6_pairwise1,Ctrl_fund_age,Ctrl_fund_age,1.0,,,107
FAC_rank_vol_m6_n3_pairwise1,FAC_rank_vol_m6_n3_pairwise1,FAC_rank_vol_m6_n3_pairwise1,1.0,,,107
FAC_rank_vol_m6_n3_pairwise1,FAC_rank_vol_m6_n3_pairwise1,CtrlRetSTR,0.08061465438689615,4.614383394755819e-06,***,107
FAC_rank_vol_m6_n3_pairwise1,FAC_rank_vol_m6_n3_pairwise1,CtrlRetLTM,0.11423521797848445,1.705978828658379e-08,***,107
FAC_rank_vol_m6_n3_pairwise1,FAC_rank_vol_m6_n3_pairwise1,CtrlVol,-0.2979696437874481,6.7388626174559034e-31,***,107
FAC_rank_vol_m6_n3_pairwise1,FAC_rank_vol_m6_n3_pairwise1,as_偏股混合型基金,0.0015119259624269024,0.864017460137901,,107
FAC_rank_vol_m6_n3_pairwise1,FAC_rank_vol_m6_n3_pairwise1,Ctrl_log_fund_size,0.07075858174437162,5.198191051511355e-11,***,107
FAC_rank_vol_m6_n3_pairwise1,FAC_rank_vol_m6_n3_pairwise1,Ctrl_fund_age,0.025340615362512784,0.005096990265833019,***,107
FAC_rank_vol_m6_n3_pairwise1,CtrlRetSTR,FAC_rank_vol_m6_n3_pairwise1,0.08061465438689615,4.614383394755819e-06,***,107
FAC_rank_vol_m6_n3_pairwise1,CtrlRetSTR,CtrlRetSTR,1.0,,,107
FAC_rank_vol_m6_n3_pairwise1,CtrlRetSTR,CtrlRetLTM,-0.032472017100761,0.21788651017481675,,107
FAC_rank_vol_m6_n3_pairwise1,CtrlRetSTR,CtrlVol,0.011110738077231277,0.7325429085360151,,107
FAC_rank_vol_m6_n3_pairwise1,CtrlRetSTR,as_偏股混合型基金,0.006613174162250343,0.48852053783389837,,107
FAC_rank_vol_m6_n3_pairwise1,CtrlRetSTR,Ctrl_log_fund_size,0.028229755142095664,0.024751523262296043,**,107
FAC_rank_vol_m6_n3_pairwise1,CtrlRetSTR,Ctrl_fund_age,-0.028388712413040643,0.022832127329925463,**,107
FAC_rank_vol_m6_n3_pairwise1,CtrlRetLTM,FAC_rank_vol_m6_n3_pairwise1,0.11423521797848445,1.705978828658379e-08,***,107
FAC_rank_vol_m6_n3_pairwise1,CtrlRetLTM,CtrlRetSTR,-0.032472017100761,0.21788651017481675,,107
FAC_rank_vol_m6_n3_pairwise1,CtrlRetLTM,CtrlRetLTM,1.0,,,107
FAC_rank_vol_m6_n3_pairwise1,CtrlRetLTM,CtrlVol,0.1930591095976318,1.7100531860233427e-09,***,107
FAC_rank_vol_m6_n3_pairwise1,CtrlRetLTM,as_偏股混合型基金,-0.00864607157072392,0.47330154486943,,107
FAC_rank_vol_m6_n3_pairwise1,CtrlRetLTM,Ctrl_log_fund_size,0.07812008604781119,1.72737150681638e-13,***,107
FAC_rank_vol_m6_n3_pairwise1,CtrlRetLTM,Ctrl_fund_age,-0.09206889215087553,8.102545581460963e-13,***,107
FAC_rank_vol_m6_n3_pairwise1,CtrlVol,FAC_rank_vol_m6_n3_pairwise1,-0.2979696437874481,6.7388626174559034e-31,***,107
FAC_rank_vol_m6_n3_pairwise1,CtrlVol,CtrlRetSTR,0.011110738077231277,0.7325429085360151,,107
FAC_rank_vol_m6_n3_pairwise1,CtrlVol,CtrlRetLTM,0.1930591095976318,1.7100531860233427e-09,***,107
FAC_rank_vol_m6_n3_pairwise1,CtrlVol,CtrlVol,1.0,,,107
FAC_rank_vol_m6_n3_pairwise1,CtrlVol,as_偏股混合型基金,-0.0349186108524263,0.0023829707596798714,***,107
FAC_rank_vol_m6_n3_pairwise1,CtrlVol,Ctrl_log_fund_size,-0.07154842243920946,2.547414911465752e-08,***,107
FAC_rank_vol_m6_n3_pairwise1,CtrlVol,Ctrl_fund_age,-0.09551935626908765,2.677556995271616e-13,***,107
FAC_rank_vol_m6_n3_pairwise1,as_偏股混合型基金,FAC_rank_vol_m6_n3_pairwise1,0.0015119259624269024,0.864017460137901,,107
FAC_rank_vol_m6_n3_pairwise1,as_偏股混合型基金,CtrlRetSTR,0.006613174162250343,0.48852053783389837,,107
FAC_rank_vol_m6_n3_pairwise1,as_偏股混合型基金,CtrlRetLTM,-0.00864607157072392,0.47330154486943,,107
FAC_rank_vol_m6_n3_pairwise1,as_偏股混合型基金,CtrlVol,-0.0349186108524263,0.0023829707596798714,***,107
FAC_rank_vol_m6_n3_pairwise1,as_偏股混合型基金,as_偏股混合型基金,1.0,,,107
FAC_rank_vol_m6_n3_pairwise1,as_偏股混合型基金,Ctrl_log_fund_size,0.32869447147742337,2.659229305983899e-35,***,107
FAC_rank_vol_m6_n3_pairwise1,as_偏股混合型基金,Ctrl_fund_age,0.35682493824001743,3.082349050911667e-31,***,107
FAC_rank_vol_m6_n3_pairwise1,Ctrl_log_fund_size,FAC_rank_vol_m6_n3_pairwise1,0.07075858174437162,5.198191051511355e-11,***,107
FAC_rank_vol_m6_n3_pairwise1,Ctrl_log_fund_size,CtrlRetSTR,0.028229755142095664,0.024751523262296043,**,107
FAC_rank_vol_m6_n3_pairwise1,Ctrl_log_fund_size,CtrlRetLTM,0.07812008604781119,1.72737150681638e-13,***,107
FAC_rank_vol_m6_n3_pairwise1,Ctrl_log_fund_size,CtrlVol,-0.07154842243920946,2.547414911465752e-08,***,107
FAC_rank_vol_m6_n3_pairwise1,Ctrl_log_fund_size,as_偏股混合型基金,0.32869447147742337,2.659229305983899e-35,***,107
FAC_rank_vol_m6_n3_pairwise1,Ctrl_log_fund_size,Ctrl_log_fund_size,1.0,,,107
FAC_rank_vol_m6_n3_pairwise1,Ctrl_log_fund_size,Ctrl_fund_age,0.7579983450165906,5.102765629850146e-135,***,107
FAC_rank_vol_m6_n3_pairwise1,Ctrl_fund_age,FAC_rank_vol_m6_n3_pairwise1,0.025340615362512784,0.005096990265833019,***,107
FAC_rank_vol_m6_n3_pairwise1,Ctrl_fund_age,CtrlRetSTR,-0.028388712413040643,0.022832127329925463,**,107
FAC_rank_vol_m6_n3_pairwise1,Ctrl_fund_age,CtrlRetLTM,-0.09206889215087553,8.102545581460963e-13,***,107
FAC_rank_vol_m6_n3_pairwise1,Ctrl_fund_age,CtrlVol,-0.09551935626908765,2.677556995271616e-13,***,107
FAC_rank_vol_m6_n3_pairwise1,Ctrl_fund_age,as_偏股混合型基金,0.35682493824001743,3.082349050911667e-31,***,107
FAC_rank_vol_m6_n3_pairwise1,Ctrl_fund_age,Ctrl_log_fund_size,0.7579983450165906,5.102765629850146e-135,***,107
FAC_rank_vol_m6_n3_pairwise1,Ctrl_fund_age,Ctrl_fund_age,1.0,,,107
FAC_rank_vol_m6_n6_pairwise1,FAC_rank_vol_m6_n6_pairwise1,FAC_rank_vol_m6_n6_pairwise1,1.0,,,92
FAC_rank_vol_m6_n6_pairwise1,FAC_rank_vol_m6_n6_pairwise1,CtrlRetSTR,0.09258805718482611,5.41731690064846e-05,***,92
FAC_rank_vol_m6_n6_pairwise1,FAC_rank_vol_m6_n6_pairwise1,CtrlRetLTM,0.30758997771992985,1.5937975113145947e-34,***,92
FAC_rank_vol_m6_n6_pairwise1,FAC_rank_vol_m6_n6_pairwise1,CtrlVol,-0.2165224271136073,4.0770417295438545e-18,***,92
FAC_rank_vol_m6_n6_pairwise1,FAC_rank_vol_m6_n6_pairwise1,as_偏股混合型基金,0.006176002919597926,0.620856912863069,,92
FAC_rank_vol_m6_n6_pairwise1,FAC_rank_vol_m6_n6_pairwise1,Ctrl_log_fund_size,0.06372092339426369,6.800489682920357e-09,***,92
FAC_rank_vol_m6_n6_pairwise1,FAC_rank_vol_m6_n6_pairwise1,Ctrl_fund_age,0.007225209267212571,0.5244901313891941,,92
FAC_rank_vol_m6_n6_pairwise1,CtrlRetSTR,FAC_rank_vol_m6_n6_pairwise1,0.09258805718482611,5.41731690064846e-05,***,92
FAC_rank_vol_m6_n6_pairwise1,CtrlRetSTR,CtrlRetSTR,1.0,,,92
FAC_rank_vol_m6_n6_pairwise1,CtrlRetSTR,CtrlRetLTM,-0.02357151744800713,0.39604779616884656,,92
FAC_rank_vol_m6_n6_pairwise1,CtrlRetSTR,CtrlVol,0.015252425024489888,0.6765285376646393,,92
FAC_rank_vol_m6_n6_pairwise1,CtrlRetSTR,as_偏股混合型基金,0.0024348958533383725,0.8048571509278858,,92
FAC_rank_vol_m6_n6_pairwise1,CtrlRetSTR,Ctrl_log_fund_size,0.021337643367637854,0.09205168516317376,*,92
FAC_rank_vol_m6_n6_pairwise1,CtrlRetSTR,Ctrl_fund_age,-0.02453519964339396,0.06342167007512926,*,92
FAC_rank_vol_m6_n6_pairwise1,CtrlRetLTM,FAC_rank_vol_m6_n6_pairwise1,0.30758997771992985,1.5937975113145947e-34,***,92
FAC_rank_vol_m6_n6_pairwise1,CtrlRetLTM,CtrlRetSTR,-0.02357151744800713,0.39604779616884656,,92
FAC_rank_vol_m6_n6_pairwise1,CtrlRetLTM,CtrlRetLTM,1.0,,,92
FAC_rank_vol_m6_n6_pairwise1,CtrlRetLTM,CtrlVol,0.22751860608891744,1.422056130935646e-11,***,92
FAC_rank_vol_m6_n6_pairwise1,CtrlRetLTM,as_偏股混合型基金,-0.00631886798767265,0.6657706607247144,,92
FAC_rank_vol_m6_n6_pairwise1,CtrlRetLTM,Ctrl_log_fund_size,0.07916199732116862,8.28607711327321e-10,***,92
FAC_rank_vol_m6_n6_pairwise1,CtrlRetLTM,Ctrl_fund_age,-0.08985570169893255,1.1992385116181578e-10,***,92
FAC_rank_vol_m6_n6_pairwise1,CtrlVol,FAC_rank_vol_m6_n6_pairwise1,-0.2165224271136073,4.0770417295438545e-18,***,92
FAC_rank_vol_m6_n6_pairwise1,CtrlVol,CtrlRetSTR,0.015252425024489888,0.6765285376646393,,92
FAC_rank_vol_m6_n6_pairwise1,CtrlVol,CtrlRetLTM,0.22751860608891744,1.422056130935646e-11,***,92
