factor,variable,FAC_rank_vol_m3_n6_pairwise1,CtrlRetSTR,CtrlRetLTM,CtrlVol,as_偏股混合型基金,Ctrl_log_fund_size,Ctrl_fund_age,FAC_rank_vol_m6_n3_pairwise1,FAC_rank_vol_m6_n6_pairwise1,FAC_rank_vol_m6_n12_pairwise1,FAC_rank_vol_m12_n6_pairwise1
FAC_rank_vol_m3_n6_pairwise1,FAC_rank_vol_m3_n6_pairwise1,1.000,0.098***,0.264***,-0.128***,-0.005,0.063***,0.017,,,,
FAC_rank_vol_m3_n6_pairwise1,CtrlRetSTR,0.098***,1.000,-0.032,0.009,-0.001,0.031**,-0.027**,,,,
FAC_rank_vol_m3_n6_pairwise1,CtrlRetLTM,0.264***,-0.032,1.000,0.191***,-0.006,0.080***,-0.090***,,,,
FAC_rank_vol_m3_n6_pairwise1,CtrlVol,-0.128***,0.009,0.191***,1.000,-0.039***,-0.073***,-0.095***,,,,
FAC_rank_vol_m3_n6_pairwise1,as_偏股混合型基金,-0.005,-0.001,-0.006,-0.039***,1.000,0.325***,0.351***,,,,
FAC_rank_vol_m3_n6_pairwise1,Ctrl_log_fund_size,0.063***,0.031**,0.080***,-0.073***,0.325***,1.000,0.758***,,,,
FAC_rank_vol_m3_n6_pairwise1,Ctrl_fund_age,0.017,-0.027**,-0.090***,-0.095***,0.351***,0.758***,1.000,,,,
FAC_rank_vol_m6_n3_pairwise1,FAC_rank_vol_m6_n3_pairwise1,,0.081***,0.114***,-0.298***,0.002,0.071***,0.025***,1.000,,,
FAC_rank_vol_m6_n3_pairwise1,CtrlRetSTR,,1.000,-0.032,0.011,0.007,0.028**,-0.028**,0.081***,,,
FAC_rank_vol_m6_n3_pairwise1,CtrlRetLTM,,-0.032,1.000,0.193***,-0.009,0.078***,-0.092***,0.114***,,,
FAC_rank_vol_m6_n3_pairwise1,CtrlVol,,0.011,0.193***,1.000,-0.035***,-0.072***,-0.096***,-0.298***,,,
FAC_rank_vol_m6_n3_pairwise1,as_偏股混合型基金,,0.007,-0.009,-0.035***,1.000,0.329***,0.357***,0.002,,,
FAC_rank_vol_m6_n3_pairwise1,Ctrl_log_fund_size,,0.028**,0.078***,-0.072***,0.329***,1.000,0.758***,0.071***,,,
FAC_rank_vol_m6_n3_pairwise1,Ctrl_fund_age,,-0.028**,-0.092***,-0.096***,0.357***,0.758***,1.000,0.025***,,,
FAC_rank_vol_m6_n6_pairwise1,FAC_rank_vol_m6_n6_pairwise1,,0.093***,0.308***,-0.217***,0.006,0.064***,0.007,,1.000,,
FAC_rank_vol_m6_n6_pairwise1,CtrlRetSTR,,1.000,-0.024,0.015,0.002,0.021*,-0.025*,,0.093***,,
FAC_rank_vol_m6_n6_pairwise1,CtrlRetLTM,,-0.024,1.000,0.228***,-0.006,0.079***,-0.090***,,0.308***,,
FAC_rank_vol_m6_n6_pairwise1,CtrlVol,,0.015,0.228***,1.000,-0.051***,-0.064***,-0.077***,,-0.217***,,
FAC_rank_vol_m6_n6_pairwise1,as_偏股混合型基金,,0.002,-0.006,-0.051***,1.000,0.350***,0.375***,,0.006,,
FAC_rank_vol_m6_n6_pairwise1,Ctrl_log_fund_size,,0.021*,0.079***,-0.064***,0.350***,1.000,0.756***,,0.064***,,
FAC_rank_vol_m6_n6_pairwise1,Ctrl_fund_age,,-0.025*,-0.090***,-0.077***,0.375***,0.756***,1.000,,0.007,,
FAC_rank_vol_m6_n12_pairwise1,FAC_rank_vol_m6_n12_pairwise1,,0.017,0.378***,-0.056**,-0.046***,0.060***,-0.032**,,,1.000,
FAC_rank_vol_m6_n12_pairwise1,CtrlRetSTR,,1.000,-0.053,0.041,-0.021*,0.025*,-0.027**,,,0.017,
FAC_rank_vol_m6_n12_pairwise1,CtrlRetLTM,,-0.053,1.000,0.232***,-0.059***,0.038***,-0.069***,,,0.378***,
FAC_rank_vol_m6_n12_pairwise1,CtrlVol,,0.041,0.232***,1.000,-0.070***,-0.070***,-0.071***,,,-0.056**,
FAC_rank_vol_m6_n12_pairwise1,as_偏股混合型基金,,-0.021*,-0.059***,-0.070***,1.000,0.465***,0.504***,,,-0.046***,
FAC_rank_vol_m6_n12_pairwise1,Ctrl_log_fund_size,,0.025*,0.038***,-0.070***,0.465***,1.000,0.745***,,,0.060***,
FAC_rank_vol_m6_n12_pairwise1,Ctrl_fund_age,,-0.027**,-0.069***,-0.071***,0.504***,0.745***,1.000,,,-0.032**,
FAC_rank_vol_m12_n6_pairwise1,FAC_rank_vol_m12_n6_pairwise1,,0.040,0.127***,-0.265***,-0.039***,0.058***,0.012,,,,1.000
FAC_rank_vol_m12_n6_pairwise1,CtrlRetSTR,,1.000,-0.047,0.037,-0.023*,0.029**,-0.025**,,,,0.040
FAC_rank_vol_m12_n6_pairwise1,CtrlRetLTM,,-0.047,1.000,0.240***,-0.058***,0.036***,-0.074***,,,,0.127***
FAC_rank_vol_m12_n6_pairwise1,CtrlVol,,0.037,0.240***,1.000,-0.067***,-0.074***,-0.074***,,,,-0.265***
FAC_rank_vol_m12_n6_pairwise1,as_偏股混合型基金,,-0.023*,-0.058***,-0.067***,1.000,0.466***,0.506***,,,,-0.039***
FAC_rank_vol_m12_n6_pairwise1,Ctrl_log_fund_size,,0.029**,0.036***,-0.074***,0.466***,1.000,0.748***,,,,0.058***
FAC_rank_vol_m12_n6_pairwise1,Ctrl_fund_age,,-0.025**,-0.074***,-0.074***,0.506***,0.748***,1.000,,,,0.012
