factor,variable,vif,n_obs,status,reason
FAC_rank_vol_m3_n6_pairwise1,FAC_rank_vol_m3_n6_pairwise1,1.0305691918336257,17131,ok,
FAC_rank_vol_m3_n6_pairwise1,CtrlRetSTR,1.0075928219617336,17131,ok,
FAC_rank_vol_m3_n6_pairwise1,CtrlRetLTM,1.0906216372600266,17131,ok,
FAC_rank_vol_m3_n6_pairwise1,CtrlVol,1.1083434568878496,17131,ok,
FAC_rank_vol_m3_n6_pairwise1,as_偏股混合型基金,1.0988888663268566,17131,ok,
FAC_rank_vol_m3_n6_pairwise1,Ctrl_log_fund_size,1.0411626205000124,17131,ok,
FAC_rank_vol_m3_n6_pairwise1,Ctrl_fund_age,1.0978137184466819,17131,ok,
FAC_rank_vol_m6_n3_pairwise1,FAC_rank_vol_m6_n3_pairwise1,1.0393237280366578,17133,ok,
FAC_rank_vol_m6_n3_pairwise1,CtrlRetSTR,1.0045217320878512,17133,ok,
FAC_rank_vol_m6_n3_pairwise1,CtrlRetLTM,1.085058250534122,17133,ok,
FAC_rank_vol_m6_n3_pairwise1,CtrlVol,1.1287964931477328,17133,ok,
FAC_rank_vol_m6_n3_pairwise1,as_偏股混合型基金,1.1009992096221948,17133,ok,
FAC_rank_vol_m6_n3_pairwise1,Ctrl_log_fund_size,1.0439753302463213,17133,ok,
FAC_rank_vol_m6_n3_pairwise1,Ctrl_fund_age,1.0994998606245998,17133,ok,
FAC_rank_vol_m6_n6_pairwise1,FAC_rank_vol_m6_n6_pairwise1,1.0556786385742396,14679,ok,
FAC_rank_vol_m6_n6_pairwise1,CtrlRetSTR,1.0078559646762197,14679,ok,
FAC_rank_vol_m6_n6_pairwise1,CtrlRetLTM,1.1096488602421404,14679,ok,
FAC_rank_vol_m6_n6_pairwise1,CtrlVol,1.1379522267558442,14679,ok,
FAC_rank_vol_m6_n6_pairwise1,as_偏股混合型基金,1.109912569820059,14679,ok,
FAC_rank_vol_m6_n6_pairwise1,Ctrl_log_fund_size,1.0417552957645486,14679,ok,
FAC_rank_vol_m6_n6_pairwise1,Ctrl_fund_age,1.1029737517331506,14679,ok,
FAC_rank_vol_m6_n12_pairwise1,FAC_rank_vol_m6_n12_pairwise1,1.0217805311199628,11019,ok,
FAC_rank_vol_m6_n12_pairwise1,CtrlRetSTR,1.003186789425549,11019,ok,
FAC_rank_vol_m6_n12_pairwise1,CtrlRetLTM,1.087119897794883,11019,ok,
FAC_rank_vol_m6_n12_pairwise1,CtrlVol,1.0920164030613462,11019,ok,
FAC_rank_vol_m6_n12_pairwise1,as_偏股混合型基金,1.133382671239526,11019,ok,
FAC_rank_vol_m6_n12_pairwise1,Ctrl_log_fund_size,1.0372189041035438,11019,ok,
FAC_rank_vol_m6_n12_pairwise1,Ctrl_fund_age,1.1160407852305827,11019,ok,
FAC_rank_vol_m12_n6_pairwise1,FAC_rank_vol_m12_n6_pairwise1,1.0595812523455037,11019,ok,
FAC_rank_vol_m12_n6_pairwise1,CtrlRetSTR,1.0032813689940399,11019,ok,
FAC_rank_vol_m12_n6_pairwise1,CtrlRetLTM,1.0956020263178992,11019,ok,
FAC_rank_vol_m12_n6_pairwise1,CtrlVol,1.1414039119122006,11019,ok,
FAC_rank_vol_m12_n6_pairwise1,as_偏股混合型基金,1.129954047649041,11019,ok,
FAC_rank_vol_m12_n6_pairwise1,Ctrl_log_fund_size,1.0359323509905805,11019,ok,
FAC_rank_vol_m12_n6_pairwise1,Ctrl_fund_age,1.1159462485563827,11019,ok,
