factor,variable,mean_vif,median_vif,p90_vif,max_vif,ok_months,failed_or_skipped_months
FAC_rank_vol_m3_n6_pairwise1,CtrlRetLTM,1.5936104846361407,1.5123021732335231,2.1517145169094016,3.0213637860285507,107,100
FAC_rank_vol_m3_n6_pairwise1,CtrlRetSTR,1.342792734892332,1.258654145538373,1.7153161367707233,2.2527684212119747,107,100
FAC_rank_vol_m3_n6_pairwise1,CtrlVol,1.5502288217573283,1.404172791498472,2.1589218329056012,3.438397741321521,107,100
FAC_rank_vol_m3_n6_pairwise1,Ctrl_fund_age,2.9708158292471176,3.0381096349449472,3.6179944033799196,3.9780389357418815,107,100
FAC_rank_vol_m3_n6_pairwise1,Ctrl_log_fund_size,2.8137891174227483,2.802387194165319,3.4447897352481025,3.9499346710676426,107,100
FAC_rank_vol_m3_n6_pairwise1,FAC_rank_vol_m3_n6_pairwise1,1.3600525120672495,1.3076984254778534,1.6544645187894895,2.1938656333308906,107,100
FAC_rank_vol_m3_n6_pairwise1,as_偏股混合型基金,1.3707665841569667,1.3655308226932206,1.755554992371254,1.9589301779886263,107,100
FAC_rank_vol_m6_n3_pairwise1,CtrlRetLTM,1.5506664925856473,1.4587643817559537,2.140118990593753,3.731759915369757,107,100
FAC_rank_vol_m6_n3_pairwise1,CtrlRetSTR,1.35065018370247,1.281014068164685,1.7238729581482104,2.199949686275261,107,100
FAC_rank_vol_m6_n3_pairwise1,CtrlVol,1.6978821823116774,1.528642826936335,2.5216333480974074,3.4753010734334464,107,100
FAC_rank_vol_m6_n3_pairwise1,Ctrl_fund_age,2.955394473906703,2.890846212232458,3.59129129102598,4.573274469413225,107,100
FAC_rank_vol_m6_n3_pairwise1,Ctrl_log_fund_size,2.832556358167656,2.759902300116266,3.6059184280652032,4.694758721446451,107,100
FAC_rank_vol_m6_n3_pairwise1,FAC_rank_vol_m6_n3_pairwise1,1.3778209185308277,1.3032852676898223,1.6908212762371642,2.882240983050509,107,100
FAC_rank_vol_m6_n3_pairwise1,as_偏股混合型基金,1.3551260137717267,1.3396955992601067,1.7416201306804677,1.979922647173958,107,100
FAC_rank_vol_m6_n6_pairwise1,CtrlRetLTM,1.7504708529400514,1.5664888799110002,2.508936987451193,3.5562048069722576,92,112
FAC_rank_vol_m6_n6_pairwise1,CtrlRetSTR,1.4014637460447041,1.3090789759115675,1.8398632943105204,3.0213666241157013,92,112
FAC_rank_vol_m6_n6_pairwise1,CtrlVol,1.7419878416080832,1.5474324113353781,2.515332794894958,3.886222746895715,92,112
FAC_rank_vol_m6_n6_pairwise1,Ctrl_fund_age,2.886407195829716,2.9128183677447845,3.44139998141165,4.1763596479047935,92,112
FAC_rank_vol_m6_n6_pairwise1,Ctrl_log_fund_size,2.760121857985143,2.720558003265182,3.2704962145086354,3.8825492193566324,92,112
FAC_rank_vol_m6_n6_pairwise1,FAC_rank_vol_m6_n6_pairwise1,1.5002348158500873,1.4361323979986467,1.8914632876561535,2.996192815641127,92,112
FAC_rank_vol_m6_n6_pairwise1,as_偏股混合型基金,1.3951868605695121,1.37568115786455,1.7177713544591555,1.880012129116553,92,112
FAC_rank_vol_m6_n12_pairwise1,CtrlRetLTM,1.6452229158373421,1.5213596016469504,2.11018497642923,2.7054072827017865,60,138
FAC_rank_vol_m6_n12_pairwise1,CtrlRetSTR,1.3763635174414581,1.3018982393253973,1.8289650075569912,2.303130766900847,60,138
FAC_rank_vol_m6_n12_pairwise1,CtrlVol,1.5183106901923058,1.43855141821086,1.8791525381409682,2.3446931640846915,60,138
FAC_rank_vol_m6_n12_pairwise1,Ctrl_fund_age,2.677479464916841,2.684454818094321,3.3298154852408057,3.7773474920880434,60,138
FAC_rank_vol_m6_n12_pairwise1,Ctrl_log_fund_size,2.5547148914332003,2.5592422083579462,2.911935841918219,3.206556205512806,60,138
FAC_rank_vol_m6_n12_pairwise1,FAC_rank_vol_m6_n12_pairwise1,1.4070840072783601,1.346935085434104,1.6300784591983182,2.0953880200841577,60,138
FAC_rank_vol_m6_n12_pairwise1,as_偏股混合型基金,1.4951574451270833,1.4699220928677292,1.7051524505309665,1.918239294485858,60,138
FAC_rank_vol_m12_n6_pairwise1,CtrlRetLTM,1.4600978435182468,1.3437648492174772,1.976254065198273,2.839474438778943,60,138
FAC_rank_vol_m12_n6_pairwise1,CtrlRetSTR,1.390374228905787,1.2992310892431265,1.794452954040873,2.4015522880193036,60,138
FAC_rank_vol_m12_n6_pairwise1,CtrlVol,1.6558103687997248,1.640393018769285,2.1534521401062245,2.8266021785623825,60,138
FAC_rank_vol_m12_n6_pairwise1,Ctrl_fund_age,2.7046320998013775,2.686860232437394,3.344934082406998,3.6942907986293485,60,138
FAC_rank_vol_m12_n6_pairwise1,Ctrl_log_fund_size,2.553957063040434,2.521258206757887,2.904033120500837,3.0715985805527772,60,138
FAC_rank_vol_m12_n6_pairwise1,FAC_rank_vol_m12_n6_pairwise1,1.332109545980464,1.264378228970699,1.6362276823195039,1.939898875249602,60,138
FAC_rank_vol_m12_n6_pairwise1,as_偏股混合型基金,1.4927272874499822,1.4955960235071022,1.7231370475275147,1.9112935189918703,60,138
