factor,variable,vif,n_obs,status,reason
FAC_rank_vol_m3_n6_pairwise1,FAC_rank_vol_m3_n6_pairwise1,1.0206212666210248,33957,ok,
FAC_rank_vol_m3_n6_pairwise1,CtrlRetSTR,1.0081131492447135,33957,ok,
FAC_rank_vol_m3_n6_pairwise1,CtrlRetLTM,1.1831915171511078,33957,ok,
FAC_rank_vol_m3_n6_pairwise1,CtrlVol,1.074704267495131,33957,ok,
FAC_rank_vol_m3_n6_pairwise1,as_偏股混合型基金,1.1167182451498676,33957,ok,
FAC_rank_vol_m3_n6_pairwise1,Ctrl_log_fund_size,2.3454939649790485,33957,ok,
FAC_rank_vol_m3_n6_pairwise1,Ctrl_fund_age,2.170835531381984,33957,ok,
FAC_rank_vol_m6_n3_pairwise1,FAC_rank_vol_m6_n3_pairwise1,1.0379223070831094,33957,ok,
FAC_rank_vol_m6_n3_pairwise1,CtrlRetSTR,1.0082078267007026,33957,ok,
FAC_rank_vol_m6_n3_pairwise1,CtrlRetLTM,1.1834620196503591,33957,ok,
FAC_rank_vol_m6_n3_pairwise1,CtrlVol,1.0908949806040598,33957,ok,
FAC_rank_vol_m6_n3_pairwise1,as_偏股混合型基金,1.116575584873195,33957,ok,
FAC_rank_vol_m6_n3_pairwise1,Ctrl_log_fund_size,2.346680530386749,33957,ok,
FAC_rank_vol_m6_n3_pairwise1,Ctrl_fund_age,2.171069666765494,33957,ok,
FAC_rank_vol_m6_n6_pairwise1,FAC_rank_vol_m6_n6_pairwise1,1.0461902123103874,29113,ok,
FAC_rank_vol_m6_n6_pairwise1,CtrlRetSTR,1.0078501323993285,29113,ok,
FAC_rank_vol_m6_n6_pairwise1,CtrlRetLTM,1.1692599688496912,29113,ok,
FAC_rank_vol_m6_n6_pairwise1,CtrlVol,1.108298990986541,29113,ok,
FAC_rank_vol_m6_n6_pairwise1,as_偏股混合型基金,1.1321037910599547,29113,ok,
FAC_rank_vol_m6_n6_pairwise1,Ctrl_log_fund_size,2.2809946413342694,29113,ok,
FAC_rank_vol_m6_n6_pairwise1,Ctrl_fund_age,2.142289621514356,29113,ok,
FAC_rank_vol_m6_n12_pairwise1,FAC_rank_vol_m6_n12_pairwise1,1.027931908045766,21821,ok,
FAC_rank_vol_m6_n12_pairwise1,CtrlRetSTR,1.0070153780737814,21821,ok,
FAC_rank_vol_m6_n12_pairwise1,CtrlRetLTM,1.1519524123001088,21821,ok,
FAC_rank_vol_m6_n12_pairwise1,CtrlVol,1.0884819745158687,21821,ok,
FAC_rank_vol_m6_n12_pairwise1,as_偏股混合型基金,1.159841156292969,21821,ok,
FAC_rank_vol_m6_n12_pairwise1,Ctrl_log_fund_size,2.1988512884495144,21821,ok,
FAC_rank_vol_m6_n12_pairwise1,Ctrl_fund_age,2.1157198588492556,21821,ok,
FAC_rank_vol_m12_n6_pairwise1,FAC_rank_vol_m12_n6_pairwise1,1.0642739799436756,21821,ok,
FAC_rank_vol_m12_n6_pairwise1,CtrlRetSTR,1.006910929246465,21821,ok,
FAC_rank_vol_m12_n6_pairwise1,CtrlRetLTM,1.1533155056406532,21821,ok,
FAC_rank_vol_m12_n6_pairwise1,CtrlVol,1.1293556626068786,21821,ok,
FAC_rank_vol_m12_n6_pairwise1,as_偏股混合型基金,1.1577776331827863,21821,ok,
FAC_rank_vol_m12_n6_pairwise1,Ctrl_log_fund_size,2.1988377064043765,21821,ok,
FAC_rank_vol_m12_n6_pairwise1,Ctrl_fund_age,2.1157175117049998,21821,ok,
