factor,variable,mean_vif,median_vif,p90_vif,max_vif,ok_months,failed_or_skipped_months
FAC_rank_vol_m3_n6_pairwise1,CtrlRetLTM,1.413445064951722,1.3531147897041402,1.7468548936234125,2.1941798377170847,153,62
FAC_rank_vol_m3_n6_pairwise1,CtrlRetSTR,1.3029820500661968,1.2372235292477767,1.6261351999818259,2.651206297931642,153,62
FAC_rank_vol_m3_n6_pairwise1,CtrlVol,1.3919546879986473,1.3185333643427772,1.7755469117801514,3.4961792982690008,153,62
FAC_rank_vol_m3_n6_pairwise1,Ctrl_fund_age,2.7677302883654384,2.832577736962186,3.3128153211931846,3.633631482863066,153,62
FAC_rank_vol_m3_n6_pairwise1,Ctrl_log_fund_size,2.666558655958436,2.6942563763186778,3.149543443989872,3.4408193715701776,153,62
FAC_rank_vol_m3_n6_pairwise1,FAC_rank_vol_m3_n6_pairwise1,1.1380460027366877,1.1045085279509814,1.292151185041601,1.5577731098247067,153,62
FAC_rank_vol_m3_n6_pairwise1,as_偏股混合型基金,1.27736831889811,1.1648156776096263,1.6286718012529966,1.8877691586047045,153,62
FAC_rank_vol_m6_n3_pairwise1,CtrlRetLTM,1.4080886643376551,1.35332601588459,1.758733008455067,2.1922637026699046,153,62
FAC_rank_vol_m6_n3_pairwise1,CtrlRetSTR,1.3015988800417873,1.2414624546353425,1.600149727355703,2.4415917641339084,153,62
FAC_rank_vol_m6_n3_pairwise1,CtrlVol,1.4680703263967587,1.410317464851139,1.8515143731512829,3.6495392653173813,153,62
FAC_rank_vol_m6_n3_pairwise1,Ctrl_fund_age,2.7678198671837313,2.84312864005834,3.2894456609544305,3.644577657682731,153,62
FAC_rank_vol_m6_n3_pairwise1,Ctrl_log_fund_size,2.6724142304698093,2.6946338874378952,3.137318320693351,3.4351971451408314,153,62
FAC_rank_vol_m6_n3_pairwise1,FAC_rank_vol_m6_n3_pairwise1,1.1895308295425444,1.1445943903821827,1.3827721478380282,2.166367600205471,153,62
FAC_rank_vol_m6_n3_pairwise1,as_偏股混合型基金,1.260744457872476,1.1251192127200205,1.612230081852387,1.8807688042824133,153,62
FAC_rank_vol_m6_n6_pairwise1,CtrlRetLTM,1.4080900319265668,1.3149311248176205,1.7743888047468754,2.5497864195483317,144,71
FAC_rank_vol_m6_n6_pairwise1,CtrlRetSTR,1.3122779159812967,1.2306551912329378,1.6191288416064675,2.769740544321392,144,71
FAC_rank_vol_m6_n6_pairwise1,CtrlVol,1.45883962806439,1.4186215162946674,1.8743496176577799,3.8417798096691853,144,71
FAC_rank_vol_m6_n6_pairwise1,Ctrl_fund_age,2.7357934016887726,2.8070312098826093,3.262373554927595,3.722061271618358,144,71
FAC_rank_vol_m6_n6_pairwise1,Ctrl_log_fund_size,2.6316655073357333,2.6759475752144732,3.0934699858381443,3.3812584195463455,144,71
FAC_rank_vol_m6_n6_pairwise1,FAC_rank_vol_m6_n6_pairwise1,1.180398846756289,1.1363465371059724,1.3554718082398862,1.801614111029928,144,71
FAC_rank_vol_m6_n6_pairwise1,as_偏股混合型基金,1.2838759859140694,1.176401724417425,1.6474260815986523,1.8035020919020914,144,71
FAC_rank_vol_m6_n12_pairwise1,CtrlRetLTM,1.4185099646664814,1.3436005337426193,1.8781058784386715,2.3382447780152913,108,107
FAC_rank_vol_m6_n12_pairwise1,CtrlRetSTR,1.3151357680551912,1.2740954596012035,1.6223007816532555,2.271010473829539,108,107
FAC_rank_vol_m6_n12_pairwise1,CtrlVol,1.445915450785337,1.3763360519983816,1.8431425026864439,3.2042247277090263,108,107
FAC_rank_vol_m6_n12_pairwise1,Ctrl_fund_age,2.724853479442894,2.7577551796778836,3.3050429428683636,3.542082274086716,108,107
FAC_rank_vol_m6_n12_pairwise1,Ctrl_log_fund_size,2.6043313760576075,2.554637657799181,3.1168603757645537,3.7985094113986877,108,107
FAC_rank_vol_m6_n12_pairwise1,FAC_rank_vol_m6_n12_pairwise1,1.152904919015841,1.1181098534701803,1.2805130499852924,1.624650125371904,108,107
FAC_rank_vol_m6_n12_pairwise1,as_偏股混合型基金,1.3471972924135667,1.2723797466994191,1.693225788283795,1.8028173663112288,108,107
FAC_rank_vol_m12_n6_pairwise1,CtrlRetLTM,1.4149795609928457,1.3277128468743016,1.8580810813826125,2.334960133748393,108,107
FAC_rank_vol_m12_n6_pairwise1,CtrlRetSTR,1.3223030238736777,1.2711921834847626,1.6221536626931345,2.4966653529744574,108,107
FAC_rank_vol_m12_n6_pairwise1,CtrlVol,1.532436007705807,1.474481867749947,1.9892407451021827,3.756241272613409,108,107
FAC_rank_vol_m12_n6_pairwise1,Ctrl_fund_age,2.735894942716008,2.7913852393305416,3.320076242474406,3.5449574752404285,108,107
FAC_rank_vol_m12_n6_pairwise1,Ctrl_log_fund_size,2.6131231640904624,2.5519735769044485,3.191955069611991,3.8004886312781374,108,107
FAC_rank_vol_m12_n6_pairwise1,FAC_rank_vol_m12_n6_pairwise1,1.2072402550821248,1.1730662891540962,1.3813810386713326,1.702006670327631,108,107
FAC_rank_vol_m12_n6_pairwise1,as_偏股混合型基金,1.334890261333797,1.271392004185339,1.6814690305811055,1.7835743917556033,108,107
