year,correct_group_return,wrong_group_return,return_diff,benchmark_5050_return,benchmark_minus_wrong,period_count,correct_group_annual_return,wrong_group_annual_return,benchmark_5050_annual_return
2011,-0.0181816389226304,-0.02773437181968843,0.009552732897058033,-0.028279503337362753,-0.0005451315176743226,10,-0.17651013131766857,-0.2539796965555867,-0.2583707239632762
2012,-0.0014843500513050483,-0.007641718009632392,0.006157367958327344,-0.0007988817109604399,0.006842836298671952,12,-0.022739037318386,-0.0930671433662752,-0.013992717067636717
2013,0.024856609196751586,0.02035071927688326,0.004505889919868323,0.014057365196074359,-0.006293354080808902,12,0.328934202394094,0.25437663541639055,0.15307901027934068
2014,0.02891667503011614,0.016751231160114694,0.012165443870001449,0.02678680934363805,0.010035578183523356,13,0.4355945123537486,0.2310371359118466,0.381595706895985
2015,0.05385056712231909,0.022864150703018435,0.030986416419300663,0.02338760007922889,0.0005234493762104605,11,0.6155239988989798,0.1485198466746398,0.1785006358519985
2016,0.003873995191684953,-0.006022744381876809,0.009896739573561762,-0.00282907982007811,0.0031936645617986997,12,0.029256757945173684,-0.08660137130341095,-0.04659335368452289
2017,0.011109532915489079,0.003106530174716726,0.008003002740772354,0.006535962624749494,0.003429432450032767,13,0.14973982371252315,0.034645969168424884,0.08349843951983127
2018,-0.007639970715565388,-0.03562949532026501,0.027989524604699625,-0.02261420900998275,0.01301528631028226,12,-0.098212826358825,-0.3597631933392723,-0.24862235725105075
2019,0.038284890620052456,0.021515602531706802,0.016769288088345654,0.021766571012738527,0.0002509684810317236,12,0.5353689012016183,0.2661015497817134,0.259188088136306
2020,0.04254184552879655,0.030286017237792177,0.012255828291004372,0.022920839224403407,-0.007365178013388773,11,0.541903252452957,0.3592960603877171,0.25497751516022604
2021,0.01987814066493422,-0.008806585521236669,0.02868472618617089,0.0034161267476089554,0.012222712268845625,13,0.2727631545477627,-0.12481746160874074,0.03891540365161039
2022,-0.009513976146028882,-0.030548858994315836,0.021034882848286956,-0.016287233904294585,0.014261625090021249,12,-0.11624540070114042,-0.3170976495383516,-0.1853965194556304
2023,-0.002605792640225342,-0.01840512354061491,0.015799330900389565,-0.013219469524225721,0.005185654016389187,12,-0.03796307887693662,-0.20637470158190252,-0.15144149698079745
2024,0.008152431507443282,-0.019885828622935035,0.028038260130378315,0.013752349343994755,0.033638177966929785,12,0.0851977142845064,-0.22440486983958796,0.14523674690339505
2025,0.032706009407015325,0.006324703184200861,0.026381306222814458,0.014691673046796814,0.008366969862595953,12,0.45533362779766207,0.07004127617020672,0.18509737165017737
2026,0.07074439924552338,0.041243992865583154,0.029500406379940225,0.03433579081636051,-0.0069082020492226386,2,0.14318695774005263,0.08290780983236656,0.06941553414221957
