estimate_date,forward_start,forward_end,year,fund_code,bucket,fund_forward_return,benchmark_5050_return,excess_vs_5050
2011-11-18,2011-11-25,2011-12-16,2011,61,correct,-0.08560311284046707,-0.08114449595469042,-0.004458616885776645
2011-11-18,2011-11-25,2011-12-16,2011,21,wrong,-0.08058608058608063,-0.08114449595469042,0.0005584153686097881
2011-12-16,2011-12-23,2012-01-13,2012,31,correct,-0.02886405959031657,0.00015299045554928448,-0.029017050045865855
2011-12-16,2011-12-23,2012-01-13,2012,21,wrong,-0.07712796000773625,0.00015299045554928448,-0.07728095046328554
2012-01-13,2012-01-20,2012-02-17,2012,21,correct,0.0515267175572518,0.06158923522121351,-0.010062517663961712
2012-01-13,2012-01-20,2012-02-17,2012,31,wrong,0.04889741131351877,0.06158923522121351,-0.012691823907694744
2012-02-17,2012-02-24,2012-03-16,2012,21,correct,0.04900181488203259,0.038102977124611526,0.010898837757421065
2012-02-17,2012-02-24,2012-03-16,2012,31,wrong,0.02925045703839113,0.038102977124611526,-0.008852520086220395
2012-03-16,2012-03-23,2012-04-13,2012,31,correct,-0.02042628774422728,-0.015293906959056192,-0.005132380785171087
2012-03-16,2012-03-23,2012-04-13,2012,21,wrong,-0.009515570934256035,-0.015293906959056192,0.005778336024800157
2012-04-13,2012-04-20,2012-05-11,2012,61,correct,0.014725568942436373,0.0211243725597845,-0.0063988036173481255
2012-04-13,2012-04-20,2012-05-11,2012,31,wrong,0.011786038077969518,0.0211243725597845,-0.00933833448181498
2012-05-11,2012-05-18,2012-06-08,2012,21,correct,-0.02751504729148757,-0.03573449577187193,0.008219448480384361
2012-05-11,2012-05-18,2012-06-08,2012,31,wrong,-0.03136200716845894,-0.03573449577187193,0.004372488603412994
2012-06-08,2012-06-15,2012-07-13,2012,21,correct,-0.0057962471755572675,0.0020612482906388063,-0.007857495466196074
2012-06-08,2012-06-15,2012-07-13,2012,31,wrong,0.008019535288676272,0.0020612482906388063,0.005958286998037465
2012-07-13,2012-07-20,2012-08-10,2012,31,correct,-0.017757009345794605,-0.017694027726689487,-6.298161910511801e-05
2012-07-13,2012-07-20,2012-08-10,2012,21,wrong,-0.02445652173913071,-0.017694027726689487,-0.0067624940124412225
2012-08-10,2012-08-17,2012-09-07,2012,31,correct,-0.019029495718363654,-0.029407148109065973,0.010377652390702319
2012-08-10,2012-08-17,2012-09-07,2012,21,wrong,-0.01949860724233976,-0.029407148109065973,0.009908540866726212
2012-09-07,2012-09-14,2012-10-12,2012,31,correct,-0.02133850630455847,-0.01265302424301984,-0.00868548206153863
2012-09-07,2012-09-14,2012-10-12,2012,21,wrong,-0.017045454545454475,-0.01265302424301984,-0.004392430302434636
2012-10-12,2012-10-19,2012-11-09,2012,31,correct,-0.031714568880079175,-0.015131082874100366,-0.01658348600597881
2012-10-12,2012-10-19,2012-11-09,2012,21,wrong,-0.026011560693641633,-0.015131082874100366,-0.010880477819541268
2012-11-09,2012-11-16,2012-12-07,2012,31,correct,-0.029682702149437135,0.010875768413774134,-0.04055847056321127
2012-11-09,2012-11-16,2012-12-07,2012,21,wrong,-0.011869436201780492,0.010875768413774134,-0.022745204615554626
2012-12-07,2012-12-14,2013-01-04,2013,61,correct,0.12041116005873698,0.12848015955216274,-0.008068999493425766
2012-12-07,2012-12-14,2013-01-04,2013,21,wrong,0.0900900900900905,0.12848015955216274,-0.03839006946207224
2013-01-04,2013-01-11,2013-02-01,2013,61,correct,0.041939711664482404,0.09477300657200027,-0.05283329490751787
2013-01-04,2013-01-11,2013-02-01,2013,21,wrong,0.0734618916437102,0.09477300657200027,-0.021311114928290076
2013-02-01,2013-02-08,2013-03-08,2013,31,correct,0.04561403508771944,-0.04462586366000465,0.09023989874772409
2013-02-01,2013-02-08,2013-03-08,2013,61,wrong,-0.04276729559748427,-0.04462586366000465,0.0018585680625203826
2013-03-08,2013-03-15,2013-04-12,2013,31,correct,0.017230978055953416,-0.04812415821737248,0.0653551362733259
2013-03-08,2013-03-15,2013-04-12,2013,61,wrong,-0.02101068388276306,-0.04812415821737248,0.027113474334609422
2013-04-12,2013-04-19,2013-05-10,2013,31,correct,0.06052855924978684,0.035753156788743023,0.024775402461043816
2013-04-12,2013-04-19,2013-05-10,2013,61,wrong,0.020352781546811416,0.035753156788743023,-0.015400375241931608
2013-05-10,2013-05-17,2013-06-07,2013,31,correct,0.012861736334405016,-0.01794159861016431,0.030803334944569327
2013-05-10,2013-05-17,2013-06-07,2013,61,wrong,-0.0026595744680850686,-0.01794159861016431,0.015282024142079242
