factor,control_variable,mean_corr,p_value,stars,n_months
FAC_rank_vol_m3_n6_pairwise1,CtrlRetSTR,-0.016829915930837044,0.14451125259904685,,153
FAC_rank_vol_m3_n6_pairwise1,CtrlRetLTM,0.01056558768949573,0.3355655639968722,,153
FAC_rank_vol_m3_n6_pairwise1,CtrlVol,0.007066260654026298,0.450092639796989,,153
FAC_rank_vol_m3_n6_pairwise1,as_偏股混合型基金,-0.016125139973544658,0.17891097991092908,,153
FAC_rank_vol_m3_n6_pairwise1,Ctrl_log_fund_size,0.013339177598272866,0.06271149485999591,*,153
FAC_rank_vol_m3_n6_pairwise1,Ctrl_fund_age,0.014187712605635143,0.056616036478570754,*,153
FAC_rank_vol_m6_n3_pairwise1,CtrlRetSTR,-0.014765563882554575,0.1984523543219954,,153
FAC_rank_vol_m6_n3_pairwise1,CtrlRetLTM,-0.0239281141697673,0.032298743851875394,**,153
FAC_rank_vol_m6_n3_pairwise1,CtrlVol,-0.020610670635133534,0.0347308528871098,**,153
FAC_rank_vol_m6_n3_pairwise1,as_偏股混合型基金,-0.03417276117615991,3.2684250337346726e-05,***,153
FAC_rank_vol_m6_n3_pairwise1,Ctrl_log_fund_size,0.020168312276488666,0.015685641581032948,**,153
FAC_rank_vol_m6_n3_pairwise1,Ctrl_fund_age,0.01672007521248916,0.04363516109921892,**,153
FAC_rank_vol_m6_n6_pairwise1,CtrlRetSTR,0.0014323227487031214,0.9021813623662164,,145
FAC_rank_vol_m6_n6_pairwise1,CtrlRetLTM,-0.0008543590372092345,0.9334998521298824,,145
FAC_rank_vol_m6_n6_pairwise1,CtrlVol,0.006132006076101463,0.5528029144904979,,145
FAC_rank_vol_m6_n6_pairwise1,as_偏股混合型基金,-0.019896245343881538,0.06662556334670866,*,144
FAC_rank_vol_m6_n6_pairwise1,Ctrl_log_fund_size,0.018355277925303358,0.050024087673481196,*,145
FAC_rank_vol_m6_n6_pairwise1,Ctrl_fund_age,0.026056724209957405,0.007654052966196646,***,145
FAC_rank_vol_m6_n12_pairwise1,CtrlRetSTR,-0.018503528458901266,0.14316228841211676,,115
FAC_rank_vol_m6_n12_pairwise1,CtrlRetLTM,0.030330182818853683,0.019214288092300604,**,115
FAC_rank_vol_m6_n12_pairwise1,CtrlVol,0.03791538123351174,0.004823580135965595,***,115
FAC_rank_vol_m6_n12_pairwise1,as_偏股混合型基金,-0.024643489611971377,0.08372170380175961,*,108
FAC_rank_vol_m6_n12_pairwise1,Ctrl_log_fund_size,0.010063703631725918,0.3569689682822029,,115
FAC_rank_vol_m6_n12_pairwise1,Ctrl_fund_age,0.01642443715387021,0.11821646205252714,,115
FAC_rank_vol_m12_n6_pairwise1,CtrlRetSTR,0.00302096883404601,0.8086388838141528,,115
FAC_rank_vol_m12_n6_pairwise1,CtrlRetLTM,-0.0066933398229185774,0.562860300029784,,115
FAC_rank_vol_m12_n6_pairwise1,CtrlVol,-0.012833775340185902,0.3577095624703457,,115
FAC_rank_vol_m12_n6_pairwise1,as_偏股混合型基金,-0.024533562395685226,0.002231881605584446,***,108
FAC_rank_vol_m12_n6_pairwise1,Ctrl_log_fund_size,0.01792949378615057,0.16565820333294287,,115
FAC_rank_vol_m12_n6_pairwise1,Ctrl_fund_age,0.04737934303816035,0.0003392142515428883,***,115
