factor,variable,Consistency,CtrlRetSTR,CtrlRetLTM,CtrlVol,as_偏股混合型基金,Ctrl_log_fund_size,Ctrl_fund_age
FAC_rank_vol_m3_n6_pairwise1,Consistency,1.000,-0.017,0.011,0.007,-0.016,0.013,0.014
FAC_rank_vol_m3_n6_pairwise1,CtrlRetSTR,,1.000,0.301,-0.011,-0.003,0.038,-0.019
FAC_rank_vol_m3_n6_pairwise1,CtrlRetLTM,,***,1.000,0.145,-0.023,0.142,-0.065
FAC_rank_vol_m3_n6_pairwise1,CtrlVol,,,***,1.000,0.182,0.866,0.645
FAC_rank_vol_m3_n6_pairwise1,as_偏股混合型基金,,,***,***,1.000,0.226,0.264
FAC_rank_vol_m3_n6_pairwise1,Ctrl_log_fund_size,*,***,***,***,***,1.000,0.746
FAC_rank_vol_m3_n6_pairwise1,Ctrl_fund_age,*,**,***,***,***,***,1.000
FAC_rank_vol_m6_n3_pairwise1,Consistency,1.000,-0.015,-0.024,-0.021,-0.034,0.020,0.017
FAC_rank_vol_m6_n3_pairwise1,CtrlRetSTR,,1.000,0.301,-0.011,-0.003,0.038,-0.019
FAC_rank_vol_m6_n3_pairwise1,CtrlRetLTM,**,***,1.000,0.145,-0.023,0.142,-0.065
FAC_rank_vol_m6_n3_pairwise1,CtrlVol,**,,***,1.000,0.182,0.866,0.645
FAC_rank_vol_m6_n3_pairwise1,as_偏股混合型基金,***,,***,***,1.000,0.226,0.264
FAC_rank_vol_m6_n3_pairwise1,Ctrl_log_fund_size,**,***,***,***,***,1.000,0.746
FAC_rank_vol_m6_n3_pairwise1,Ctrl_fund_age,**,**,***,***,***,***,1.000
FAC_rank_vol_m6_n6_pairwise1,Consistency,1.000,0.001,-0.001,0.006,-0.020,0.018,0.026
FAC_rank_vol_m6_n6_pairwise1,CtrlRetSTR,,1.000,0.300,-0.013,-0.007,0.039,-0.017
FAC_rank_vol_m6_n6_pairwise1,CtrlRetLTM,,***,1.000,0.130,-0.018,0.130,-0.059
FAC_rank_vol_m6_n6_pairwise1,CtrlVol,,,***,1.000,0.197,0.864,0.646
FAC_rank_vol_m6_n6_pairwise1,as_偏股混合型基金,*,,**,***,1.000,0.243,0.283
FAC_rank_vol_m6_n6_pairwise1,Ctrl_log_fund_size,*,***,***,***,***,1.000,0.745
FAC_rank_vol_m6_n6_pairwise1,Ctrl_fund_age,***,*,***,***,***,***,1.000
FAC_rank_vol_m6_n12_pairwise1,Consistency,1.000,-0.019,0.030,0.038,-0.025,0.010,0.016
FAC_rank_vol_m6_n12_pairwise1,CtrlRetSTR,,1.000,0.303,-0.013,-0.001,0.039,-0.010
FAC_rank_vol_m6_n12_pairwise1,CtrlRetLTM,**,***,1.000,0.145,0.005,0.101,-0.063
FAC_rank_vol_m6_n12_pairwise1,CtrlVol,***,,***,1.000,0.261,0.859,0.640
FAC_rank_vol_m6_n12_pairwise1,as_偏股混合型基金,*,,,***,1.000,0.340,0.378
FAC_rank_vol_m6_n12_pairwise1,Ctrl_log_fund_size,,***,***,***,***,1.000,0.748
FAC_rank_vol_m6_n12_pairwise1,Ctrl_fund_age,,,***,***,***,***,1.000
FAC_rank_vol_m12_n6_pairwise1,Consistency,1.000,0.003,-0.007,-0.013,-0.025,0.018,0.047
FAC_rank_vol_m12_n6_pairwise1,CtrlRetSTR,,1.000,0.303,-0.013,-0.001,0.039,-0.010
FAC_rank_vol_m12_n6_pairwise1,CtrlRetLTM,,***,1.000,0.145,0.005,0.101,-0.063
FAC_rank_vol_m12_n6_pairwise1,CtrlVol,,,***,1.000,0.261,0.859,0.640
FAC_rank_vol_m12_n6_pairwise1,as_偏股混合型基金,***,,,***,1.000,0.340,0.378
FAC_rank_vol_m12_n6_pairwise1,Ctrl_log_fund_size,,***,***,***,***,1.000,0.748
FAC_rank_vol_m12_n6_pairwise1,Ctrl_fund_age,***,,***,***,***,***,1.000
