factor,control_variable,mean_corr,p_value,stars,n_months
FAC_rank_vol_m3_n6_pairwise1,CtrlRetSTR,-0.016829915930837044,0.14451125259904685,,153
FAC_rank_vol_m3_n6_pairwise1,CtrlRetLTM,0.013745123592145287,0.21562338756922372,,153
FAC_rank_vol_m3_n6_pairwise1,CtrlVol,-0.12205721550153595,4.555311214036586e-19,***,153
FAC_rank_vol_m3_n6_pairwise1,as_偏股混合型基金,-0.016125139973544658,0.17891097991092908,,153
FAC_rank_vol_m3_n6_pairwise1,Ctrl_log_fund_size,0.013339177598272866,0.06271149485999591,*,153
FAC_rank_vol_m3_n6_pairwise1,Ctrl_fund_age,0.014187712605635143,0.056616036478570754,*,153
FAC_rank_vol_m6_n3_pairwise1,CtrlRetSTR,-0.014765563882554575,0.1984523543219954,,153
FAC_rank_vol_m6_n3_pairwise1,CtrlRetLTM,-0.022220123145585288,0.049270423426149595,**,153
FAC_rank_vol_m6_n3_pairwise1,CtrlVol,-0.2297848697945699,6.295899021962482e-36,***,153
FAC_rank_vol_m6_n3_pairwise1,as_偏股混合型基金,-0.03417276117615991,3.2684250337346726e-05,***,153
FAC_rank_vol_m6_n3_pairwise1,Ctrl_log_fund_size,0.020168312276488666,0.015685641581032948,**,153
FAC_rank_vol_m6_n3_pairwise1,Ctrl_fund_age,0.01672007521248916,0.04363516109921892,**,153
FAC_rank_vol_m6_n6_pairwise1,CtrlRetSTR,0.0014323227487031214,0.9021813623662164,,145
FAC_rank_vol_m6_n6_pairwise1,CtrlRetLTM,-0.00275859267473417,0.7874773399269068,,145
FAC_rank_vol_m6_n6_pairwise1,CtrlVol,-0.19980514525431609,6.164782550373929e-32,***,145
FAC_rank_vol_m6_n6_pairwise1,as_偏股混合型基金,-0.019896245343881538,0.06662556334670866,*,144
FAC_rank_vol_m6_n6_pairwise1,Ctrl_log_fund_size,0.018355277925303358,0.050024087673481196,*,145
FAC_rank_vol_m6_n6_pairwise1,Ctrl_fund_age,0.026056724209957405,0.007654052966196646,***,145
FAC_rank_vol_m6_n12_pairwise1,CtrlRetSTR,-0.018503528458901266,0.14316228841211676,,115
FAC_rank_vol_m6_n12_pairwise1,CtrlRetLTM,0.0377467768459982,0.00408291180149641,***,115
FAC_rank_vol_m6_n12_pairwise1,CtrlVol,-0.11199344168258987,2.0148199688245103e-12,***,115
FAC_rank_vol_m6_n12_pairwise1,as_偏股混合型基金,-0.024643489611971377,0.08372170380175961,*,108
FAC_rank_vol_m6_n12_pairwise1,Ctrl_log_fund_size,0.010063703631725918,0.3569689682822029,,115
FAC_rank_vol_m6_n12_pairwise1,Ctrl_fund_age,0.01642443715387021,0.11821646205252714,,115
FAC_rank_vol_m12_n6_pairwise1,CtrlRetSTR,0.00302096883404601,0.8086388838141528,,115
FAC_rank_vol_m12_n6_pairwise1,CtrlRetLTM,-0.005597569795072146,0.6258377191015088,,115
FAC_rank_vol_m12_n6_pairwise1,CtrlVol,-0.2409648288055463,5.9546210185534226e-36,***,115
FAC_rank_vol_m12_n6_pairwise1,as_偏股混合型基金,-0.024533562395685226,0.002231881605584446,***,108
FAC_rank_vol_m12_n6_pairwise1,Ctrl_log_fund_size,0.01792949378615057,0.16565820333294287,,115
FAC_rank_vol_m12_n6_pairwise1,Ctrl_fund_age,0.04737934303816035,0.0003392142515428883,***,115
