factor,variable,FAC_rank_vol_m3_n6_pairwise1,CtrlRetSTR,CtrlRetLTM,CtrlVol,as_偏股混合型基金,Ctrl_log_fund_size,Ctrl_fund_age,FAC_rank_vol_m6_n3_pairwise1,FAC_rank_vol_m6_n6_pairwise1,FAC_rank_vol_m6_n12_pairwise1,FAC_rank_vol_m12_n6_pairwise1
FAC_rank_vol_m3_n6_pairwise1,FAC_rank_vol_m3_n6_pairwise1,1.000,-0.017,0.014,-0.122,-0.016,0.013,0.014,,,,
FAC_rank_vol_m3_n6_pairwise1,CtrlRetSTR,,1.000,0.047,-0.012,-0.003,0.038,-0.019,,,,
FAC_rank_vol_m3_n6_pairwise1,CtrlRetLTM,,**,1.000,0.062,-0.024,0.137,-0.063,,,,
FAC_rank_vol_m3_n6_pairwise1,CtrlVol,***,,**,1.000,-0.007,-0.081,-0.104,,,,
FAC_rank_vol_m3_n6_pairwise1,as_偏股混合型基金,,,***,,1.000,0.226,0.264,,,,
FAC_rank_vol_m3_n6_pairwise1,Ctrl_log_fund_size,*,***,***,***,***,1.000,0.746,,,,
FAC_rank_vol_m3_n6_pairwise1,Ctrl_fund_age,*,**,***,***,***,***,1.000,,,,
FAC_rank_vol_m6_n3_pairwise1,FAC_rank_vol_m6_n3_pairwise1,,-0.015,-0.022,-0.230,-0.034,0.020,0.017,1.000,,,
FAC_rank_vol_m6_n3_pairwise1,CtrlRetSTR,,1.000,0.047,-0.012,-0.003,0.038,-0.019,,,,
FAC_rank_vol_m6_n3_pairwise1,CtrlRetLTM,,**,1.000,0.062,-0.024,0.137,-0.063,**,,,
FAC_rank_vol_m6_n3_pairwise1,CtrlVol,,,**,1.000,-0.007,-0.081,-0.104,***,,,
FAC_rank_vol_m6_n3_pairwise1,as_偏股混合型基金,,,***,,1.000,0.226,0.264,***,,,
FAC_rank_vol_m6_n3_pairwise1,Ctrl_log_fund_size,,***,***,***,***,1.000,0.746,**,,,
FAC_rank_vol_m6_n3_pairwise1,Ctrl_fund_age,,**,***,***,***,***,1.000,**,,,
FAC_rank_vol_m6_n6_pairwise1,FAC_rank_vol_m6_n6_pairwise1,,0.001,-0.003,-0.200,-0.020,0.018,0.026,,1.000,,
FAC_rank_vol_m6_n6_pairwise1,CtrlRetSTR,,1.000,0.040,-0.016,-0.007,0.039,-0.017,,,,
FAC_rank_vol_m6_n6_pairwise1,CtrlRetLTM,,*,1.000,0.051,-0.018,0.125,-0.057,,,,
FAC_rank_vol_m6_n6_pairwise1,CtrlVol,,,*,1.000,-0.002,-0.080,-0.098,,***,,
FAC_rank_vol_m6_n6_pairwise1,as_偏股混合型基金,,,**,,1.000,0.243,0.283,,*,,
FAC_rank_vol_m6_n6_pairwise1,Ctrl_log_fund_size,,***,***,***,***,1.000,0.745,,*,,
FAC_rank_vol_m6_n6_pairwise1,Ctrl_fund_age,,*,***,***,***,***,1.000,,***,,
FAC_rank_vol_m6_n12_pairwise1,FAC_rank_vol_m6_n12_pairwise1,,-0.019,0.038,-0.112,-0.025,0.010,0.016,,,1.000,
FAC_rank_vol_m6_n12_pairwise1,CtrlRetSTR,,1.000,0.048,-0.006,-0.001,0.039,-0.010,,,,
FAC_rank_vol_m6_n12_pairwise1,CtrlRetLTM,,*,1.000,0.120,0.006,0.095,-0.063,,,***,
FAC_rank_vol_m6_n12_pairwise1,CtrlVol,,,***,1.000,-0.011,-0.078,-0.094,,,***,
FAC_rank_vol_m6_n12_pairwise1,as_偏股混合型基金,,,,,1.000,0.340,0.378,,,*,
FAC_rank_vol_m6_n12_pairwise1,Ctrl_log_fund_size,,***,***,***,***,1.000,0.748,,,,
FAC_rank_vol_m6_n12_pairwise1,Ctrl_fund_age,,,***,***,***,***,1.000,,,,
FAC_rank_vol_m12_n6_pairwise1,FAC_rank_vol_m12_n6_pairwise1,,0.003,-0.006,-0.241,-0.025,0.018,0.047,,,,1.000
FAC_rank_vol_m12_n6_pairwise1,CtrlRetSTR,,1.000,0.048,-0.006,-0.001,0.039,-0.010,,,,
FAC_rank_vol_m12_n6_pairwise1,CtrlRetLTM,,*,1.000,0.120,0.006,0.095,-0.063,,,,
FAC_rank_vol_m12_n6_pairwise1,CtrlVol,,,***,1.000,-0.011,-0.078,-0.094,,,,***
FAC_rank_vol_m12_n6_pairwise1,as_偏股混合型基金,,,,,1.000,0.340,0.378,,,,***
FAC_rank_vol_m12_n6_pairwise1,Ctrl_log_fund_size,,***,***,***,***,1.000,0.748,,,,
FAC_rank_vol_m12_n6_pairwise1,Ctrl_fund_age,,,***,***,***,***,1.000,,,,***
