ret_col,date,n_total,n_sort_missing,n_ret_missing,require_ret_before_sort,n_before_sort,n_weight_missing_or_nonpositive,n_after_weight_filter,group_1_n,group_2_n,group_3_n,group_4_n,group_5_n
future_ret_6m,2004-09-30 00:00:00,20,20,0,True,0,0,0,0,0,0,0,0
future_ret_6m,2004-12-31 00:00:00,20,20,0,True,0,0,0,0,0,0,0,0
future_ret_6m,2005-03-31 00:00:00,25,25,0,True,0,0,0,0,0,0,0,0
future_ret_6m,2005-06-30 00:00:00,26,24,0,True,2,0,2,0,0,0,0,0
future_ret_6m,2005-09-30 00:00:00,32,31,0,True,1,0,1,0,0,0,0,0
future_ret_6m,2005-12-30 00:00:00,42,39,0,True,3,0,3,0,0,0,0,0
future_ret_6m,2006-03-31 00:00:00,46,42,0,True,4,0,4,0,0,0,0,0
future_ret_6m,2006-06-30 00:00:00,54,48,0,True,6,0,6,2,1,1,1,1
future_ret_6m,2006-09-29 00:00:00,64,58,0,True,6,0,6,2,1,1,1,1
future_ret_6m,2006-12-29 00:00:00,82,74,0,True,8,0,8,2,1,2,1,2
future_ret_6m,2007-03-30 00:00:00,91,83,0,True,8,0,8,2,2,1,1,2
future_ret_6m,2007-06-29 00:00:00,103,98,0,True,5,0,5,1,1,1,1,1
future_ret_6m,2007-09-28 00:00:00,112,101,0,True,11,0,11,3,3,2,1,2
future_ret_6m,2007-12-28 00:00:00,118,105,0,True,13,0,13,3,2,3,2,3
future_ret_6m,2008-03-31 00:00:00,120,105,0,True,15,0,15,3,3,3,4,2
future_ret_6m,2008-06-30 00:00:00,134,114,0,True,20,0,20,4,4,4,4,4
future_ret_6m,2008-09-26 00:00:00,143,117,0,True,26,0,26,6,5,5,5,5
future_ret_6m,2008-12-31 00:00:00,152,117,0,True,35,0,35,7,7,7,7,7
future_ret_6m,2009-03-31 00:00:00,160,127,0,True,33,0,33,7,6,7,6,7
future_ret_6m,2009-06-30 00:00:00,173,131,0,True,42,0,42,9,8,8,8,9
future_ret_6m,2009-09-30 00:00:00,185,138,0,True,47,0,47,10,9,9,9,10
future_ret_6m,2009-12-31 00:00:00,198,139,0,True,59,0,59,12,12,11,12,12
future_ret_6m,2010-03-31 00:00:00,206,146,0,True,60,0,60,12,12,12,12,12
future_ret_6m,2010-06-30 00:00:00,225,168,0,True,57,0,57,12,11,11,11,12
future_ret_6m,2010-09-30 00:00:00,234,174,0,True,60,0,60,12,12,12,12,12
future_ret_6m,2010-12-31 00:00:00,248,187,0,True,61,0,61,13,12,12,12,12
future_ret_6m,2011-03-31 00:00:00,257,194,0,True,63,0,63,13,12,13,12,13
future_ret_6m,2011-06-30 00:00:00,272,203,0,True,69,0,69,14,14,13,14,14
future_ret_6m,2011-09-30 00:00:00,287,211,0,True,76,0,76,16,15,15,15,15
future_ret_6m,2011-12-30 00:00:00,300,221,0,True,79,0,79,16,16,15,16,16
future_ret_6m,2012-03-30 00:00:00,313,232,0,True,81,0,81,17,16,16,16,16
future_ret_6m,2012-06-29 00:00:00,332,243,0,True,89,0,89,18,18,17,18,18
future_ret_6m,2012-09-28 00:00:00,344,240,0,True,104,0,104,21,21,20,21,21
future_ret_6m,2012-12-31 00:00:00,351,233,0,True,118,0,118,24,23,24,23,24
future_ret_6m,2013-03-29 00:00:00,358,234,0,True,124,0,124,25,25,24,25,25
future_ret_6m,2013-06-28 00:00:00,369,244,0,True,125,0,125,25,25,25,25,25
future_ret_6m,2013-09-30 00:00:00,375,241,0,True,134,0,134,27,27,26,27,27
future_ret_6m,2013-12-31 00:00:00,381,239,0,True,142,0,142,29,28,28,28,29
future_ret_6m,2014-03-31 00:00:00,392,264,0,True,128,0,128,26,25,26,25,26
