ret_col,date,sort_col,economic_group,group_label,sort_mean,portfolio_ret,n_funds
future_ret_6m,2006-06-30 00:00:00,FAC_rank_vol_m3_n6_pairwise1,1,Low,0.870315184779241,,2
future_ret_6m,2006-06-30 00:00:00,FAC_rank_vol_m3_n6_pairwise1,2,Q2,0.9037749551350623,,1
future_ret_6m,2006-06-30 00:00:00,FAC_rank_vol_m3_n6_pairwise1,3,Q3,0.9037749551350623,,1
future_ret_6m,2006-06-30 00:00:00,FAC_rank_vol_m3_n6_pairwise1,4,Q4,0.9037749551350623,,1
future_ret_6m,2006-06-30 00:00:00,FAC_rank_vol_m3_n6_pairwise1,5,High,0.9951887477567531,,1
future_ret_6m,2006-09-29 00:00:00,FAC_rank_vol_m3_n6_pairwise1,1,Low,0.8096594833005979,,2
future_ret_6m,2006-09-29 00:00:00,FAC_rank_vol_m3_n6_pairwise1,2,Q2,0.8897603620389753,,1
future_ret_6m,2006-09-29 00:00:00,FAC_rank_vol_m3_n6_pairwise1,3,Q3,0.9037749551350623,,1
future_ret_6m,2006-09-29 00:00:00,FAC_rank_vol_m3_n6_pairwise1,4,Q4,0.9132639166889112,,1
future_ret_6m,2006-09-29 00:00:00,FAC_rank_vol_m3_n6_pairwise1,5,High,0.972809747679023,,1
future_ret_6m,2006-12-29 00:00:00,FAC_rank_vol_m3_n6_pairwise1,1,Low,0.6834813136397889,,2
future_ret_6m,2006-12-29 00:00:00,FAC_rank_vol_m3_n6_pairwise1,2,Q2,0.7837908439104515,,1
future_ret_6m,2006-12-29 00:00:00,FAC_rank_vol_m3_n6_pairwise1,3,Q3,0.858271127456312,,2
future_ret_6m,2006-12-29 00:00:00,FAC_rank_vol_m3_n6_pairwise1,4,Q4,0.8679946534316365,,1
future_ret_6m,2006-12-29 00:00:00,FAC_rank_vol_m3_n6_pairwise1,5,High,0.9149551965572984,,2
future_ret_6m,2007-03-30 00:00:00,FAC_rank_vol_m3_n6_pairwise1,1,Low,0.7881223749219366,,2
future_ret_6m,2007-03-30 00:00:00,FAC_rank_vol_m3_n6_pairwise1,2,Q2,0.8514906024782829,,2
future_ret_6m,2007-03-30 00:00:00,FAC_rank_vol_m3_n6_pairwise1,3,Q3,0.8727062306956711,,1
future_ret_6m,2007-03-30 00:00:00,FAC_rank_vol_m3_n6_pairwise1,4,Q4,0.9186185378183012,,1
future_ret_6m,2007-03-30 00:00:00,FAC_rank_vol_m3_n6_pairwise1,5,High,0.9317938993846873,,2
future_ret_6m,2007-06-29 00:00:00,FAC_rank_vol_m3_n6_pairwise1,1,Low,0.7693911268678615,,1
future_ret_6m,2007-06-29 00:00:00,FAC_rank_vol_m3_n6_pairwise1,2,Q2,0.7745057889352642,,1
future_ret_6m,2007-06-29 00:00:00,FAC_rank_vol_m3_n6_pairwise1,3,Q3,0.7984258505508337,,1
future_ret_6m,2007-06-29 00:00:00,FAC_rank_vol_m3_n6_pairwise1,4,Q4,0.8424905900876916,,1
future_ret_6m,2007-06-29 00:00:00,FAC_rank_vol_m3_n6_pairwise1,5,High,0.8969440318679078,,1
future_ret_6m,2007-09-28 00:00:00,FAC_rank_vol_m3_n6_pairwise1,1,Low,0.7143408261208203,,3
future_ret_6m,2007-09-28 00:00:00,FAC_rank_vol_m3_n6_pairwise1,2,Q2,0.8611340698498231,,3
future_ret_6m,2007-09-28 00:00:00,FAC_rank_vol_m3_n6_pairwise1,3,Q3,0.8950272237837045,,2
