factor,control_variable,mean_corr,p_value,stars,n_months
FAC_rank_vol_m3_n6_pairwise1,CtrlRetSTR,-0.1676144862369028,7.383302710390579e-16,***,105
FAC_rank_vol_m3_n6_pairwise1,CtrlRetLTM,-0.3131087206621992,5.274977953168945e-41,***,105
FAC_rank_vol_m3_n6_pairwise1,CtrlVol,-0.14919196087151496,1.8908824388323294e-12,***,105
FAC_rank_vol_m3_n6_pairwise1,as_偏股混合型基金,0.004852525414900581,0.7100046162721398,,105
FAC_rank_vol_m3_n6_pairwise1,Ctrl_log_fund_size,0.018227047732938366,0.11288773264539598,,105
FAC_rank_vol_m3_n6_pairwise1,Ctrl_fund_age,0.028694150301039674,0.021956383246751927,**,105
FAC_rank_vol_m6_n3_pairwise1,CtrlRetSTR,-0.12067785973567263,1.2982600722290296e-09,***,105
FAC_rank_vol_m6_n3_pairwise1,CtrlRetLTM,-0.239049004313393,4.0382590142362177e-28,***,105
FAC_rank_vol_m6_n3_pairwise1,CtrlVol,-0.24344045674088724,1.9337728258580986e-21,***,105
FAC_rank_vol_m6_n3_pairwise1,as_偏股混合型基金,-0.03198175796521558,0.0001050015472470617,***,105
FAC_rank_vol_m6_n3_pairwise1,Ctrl_log_fund_size,0.020358056018997296,0.07840404915009076,*,105
FAC_rank_vol_m6_n3_pairwise1,Ctrl_fund_age,0.02642952424926463,0.009389998121119921,***,105
FAC_rank_vol_m6_n6_pairwise1,CtrlRetSTR,-0.1273143450959969,7.626247043025902e-11,***,91
FAC_rank_vol_m6_n6_pairwise1,CtrlRetLTM,-0.4249984903256993,4.5309332853655057e-51,***,91
FAC_rank_vol_m6_n6_pairwise1,CtrlVol,-0.24587967150516887,2.3998267524794687e-19,***,91
FAC_rank_vol_m6_n6_pairwise1,as_偏股混合型基金,-0.01961208855456063,0.11409599386711232,,91
FAC_rank_vol_m6_n6_pairwise1,Ctrl_log_fund_size,-6.958513958671542e-06,0.9995324177772327,,91
FAC_rank_vol_m6_n6_pairwise1,Ctrl_fund_age,0.015184193513264886,0.203254783284778,,91
FAC_rank_vol_m6_n12_pairwise1,CtrlRetSTR,-0.08691543780274445,0.0003730122543733088,***,60
FAC_rank_vol_m6_n12_pairwise1,CtrlRetLTM,-0.4111451518543632,8.883297322767987e-33,***,60
FAC_rank_vol_m6_n12_pairwise1,CtrlVol,-0.2220983318123407,2.144442263838911e-14,***,60
FAC_rank_vol_m6_n12_pairwise1,as_偏股混合型基金,-0.06523114396498418,4.959195187201695e-06,***,60
FAC_rank_vol_m6_n12_pairwise1,Ctrl_log_fund_size,-0.022871740634096638,0.11014340681190743,,60
FAC_rank_vol_m6_n12_pairwise1,Ctrl_fund_age,-0.009930181005050645,0.40138917635446403,,60
FAC_rank_vol_m12_n6_pairwise1,CtrlRetSTR,-0.0751631885931058,0.0018299946350098383,***,60
FAC_rank_vol_m12_n6_pairwise1,CtrlRetLTM,-0.24585877944434872,2.9954841918934495e-14,***,60
FAC_rank_vol_m12_n6_pairwise1,CtrlVol,-0.3232246097481754,2.702084986733244e-20,***,60
FAC_rank_vol_m12_n6_pairwise1,as_偏股混合型基金,-0.08134501546241,1.660977645278405e-09,***,60
FAC_rank_vol_m12_n6_pairwise1,Ctrl_log_fund_size,-0.03872707626838494,0.006711523044896691,***,60
FAC_rank_vol_m12_n6_pairwise1,Ctrl_fund_age,0.0008618390768166463,0.9402205508293338,,60
