factor,row_variable,col_variable,mean_corr,p_value,stars,n_months
FAC_rank_vol_m3_n6_pairwise1,FAC_rank_vol_m3_n6_pairwise1,FAC_rank_vol_m3_n6_pairwise1,1.0,,,105
FAC_rank_vol_m3_n6_pairwise1,FAC_rank_vol_m3_n6_pairwise1,CtrlRetSTR,-0.16703804855832985,9.542841370648782e-16,***,105
FAC_rank_vol_m3_n6_pairwise1,FAC_rank_vol_m3_n6_pairwise1,CtrlRetLTM,-0.31308492592150716,5.171260478537477e-41,***,105
FAC_rank_vol_m3_n6_pairwise1,FAC_rank_vol_m3_n6_pairwise1,CtrlVol,-0.15196614315211257,4.705914285347822e-13,***,105
FAC_rank_vol_m3_n6_pairwise1,FAC_rank_vol_m3_n6_pairwise1,as_偏股混合型基金,0.005114711616229486,0.6952484186253538,,105
FAC_rank_vol_m3_n6_pairwise1,FAC_rank_vol_m3_n6_pairwise1,Ctrl_log_fund_size,-0.022353430819414977,0.08147019417999479,*,105
FAC_rank_vol_m3_n6_pairwise1,FAC_rank_vol_m3_n6_pairwise1,Ctrl_fund_age,0.029436706031188573,0.01886724518235396,**,105
FAC_rank_vol_m3_n6_pairwise1,CtrlRetSTR,FAC_rank_vol_m3_n6_pairwise1,-0.16703804855832985,9.542841370648782e-16,***,105
FAC_rank_vol_m3_n6_pairwise1,CtrlRetSTR,CtrlRetSTR,1.0,,,105
FAC_rank_vol_m3_n6_pairwise1,CtrlRetSTR,CtrlRetLTM,-0.022942341027410787,0.3419607522013631,,105
FAC_rank_vol_m3_n6_pairwise1,CtrlRetSTR,CtrlVol,-0.004316351251605791,0.8865048585083294,,105
FAC_rank_vol_m3_n6_pairwise1,CtrlRetSTR,as_偏股混合型基金,0.02000425285263649,0.03619643147454437,**,105
FAC_rank_vol_m3_n6_pairwise1,CtrlRetSTR,Ctrl_log_fund_size,0.03590313071235842,0.002771016938882835,***,105
FAC_rank_vol_m3_n6_pairwise1,CtrlRetSTR,Ctrl_fund_age,0.00035006135503909316,0.9726308488431941,,105
FAC_rank_vol_m3_n6_pairwise1,CtrlRetLTM,FAC_rank_vol_m3_n6_pairwise1,-0.31308492592150716,5.171260478537477e-41,***,105
FAC_rank_vol_m3_n6_pairwise1,CtrlRetLTM,CtrlRetSTR,-0.022942341027410787,0.3419607522013631,,105
FAC_rank_vol_m3_n6_pairwise1,CtrlRetLTM,CtrlRetLTM,1.0,,,105
FAC_rank_vol_m3_n6_pairwise1,CtrlRetLTM,CtrlVol,0.06472572577984095,0.05609605269900605,*,105
FAC_rank_vol_m3_n6_pairwise1,CtrlRetLTM,as_偏股混合型基金,0.0005604761515984606,0.9640677116177776,,105
FAC_rank_vol_m3_n6_pairwise1,CtrlRetLTM,Ctrl_log_fund_size,0.14299109226989284,5.745055981833558e-25,***,105
FAC_rank_vol_m3_n6_pairwise1,CtrlRetLTM,Ctrl_fund_age,-0.006849866543601178,0.5036998639191916,,105
FAC_rank_vol_m3_n6_pairwise1,CtrlVol,FAC_rank_vol_m3_n6_pairwise1,-0.15196614315211257,4.705914285347822e-13,***,105
FAC_rank_vol_m3_n6_pairwise1,CtrlVol,CtrlRetSTR,-0.004316351251605791,0.8865048585083294,,105
FAC_rank_vol_m3_n6_pairwise1,CtrlVol,CtrlRetLTM,0.06472572577984095,0.05609605269900605,*,105
FAC_rank_vol_m3_n6_pairwise1,CtrlVol,CtrlVol,1.0,,,105
FAC_rank_vol_m3_n6_pairwise1,CtrlVol,as_偏股混合型基金,-0.004391162238445189,0.6142260247062898,,105
FAC_rank_vol_m3_n6_pairwise1,CtrlVol,Ctrl_log_fund_size,-0.049890068795865966,0.00014944925078197045,***,105
FAC_rank_vol_m3_n6_pairwise1,CtrlVol,Ctrl_fund_age,-0.0688974766512164,1.9498677797624704e-07,***,105
FAC_rank_vol_m3_n6_pairwise1,as_偏股混合型基金,FAC_rank_vol_m3_n6_pairwise1,0.005114711616229486,0.6952484186253538,,105
FAC_rank_vol_m3_n6_pairwise1,as_偏股混合型基金,CtrlRetSTR,0.02000425285263649,0.03619643147454437,**,105
FAC_rank_vol_m3_n6_pairwise1,as_偏股混合型基金,CtrlRetLTM,0.0005604761515984606,0.9640677116177776,,105
FAC_rank_vol_m3_n6_pairwise1,as_偏股混合型基金,CtrlVol,-0.004391162238445189,0.6142260247062898,,105
FAC_rank_vol_m3_n6_pairwise1,as_偏股混合型基金,as_偏股混合型基金,1.0,,,105
FAC_rank_vol_m3_n6_pairwise1,as_偏股混合型基金,Ctrl_log_fund_size,0.34461659138235373,3.3534697333306244e-36,***,105
FAC_rank_vol_m3_n6_pairwise1,as_偏股混合型基金,Ctrl_fund_age,0.4070461175776075,1.3901683661370105e-37,***,105
FAC_rank_vol_m3_n6_pairwise1,Ctrl_log_fund_size,FAC_rank_vol_m3_n6_pairwise1,-0.022353430819414977,0.08147019417999479,*,105
FAC_rank_vol_m3_n6_pairwise1,Ctrl_log_fund_size,CtrlRetSTR,0.03590313071235842,0.002771016938882835,***,105
FAC_rank_vol_m3_n6_pairwise1,Ctrl_log_fund_size,CtrlRetLTM,0.14299109226989284,5.745055981833558e-25,***,105
FAC_rank_vol_m3_n6_pairwise1,Ctrl_log_fund_size,CtrlVol,-0.049890068795865966,0.00014944925078197045,***,105
FAC_rank_vol_m3_n6_pairwise1,Ctrl_log_fund_size,as_偏股混合型基金,0.34461659138235373,3.3534697333306244e-36,***,105
FAC_rank_vol_m3_n6_pairwise1,Ctrl_log_fund_size,Ctrl_log_fund_size,1.0,,,105
FAC_rank_vol_m3_n6_pairwise1,Ctrl_log_fund_size,Ctrl_fund_age,0.7671210352246254,4.480503484409556e-116,***,105
FAC_rank_vol_m3_n6_pairwise1,Ctrl_fund_age,FAC_rank_vol_m3_n6_pairwise1,0.029436706031188573,0.01886724518235396,**,105
FAC_rank_vol_m3_n6_pairwise1,Ctrl_fund_age,CtrlRetSTR,0.00035006135503909316,0.9726308488431941,,105
FAC_rank_vol_m3_n6_pairwise1,Ctrl_fund_age,CtrlRetLTM,-0.006849866543601178,0.5036998639191916,,105
FAC_rank_vol_m3_n6_pairwise1,Ctrl_fund_age,CtrlVol,-0.0688974766512164,1.9498677797624704e-07,***,105
FAC_rank_vol_m3_n6_pairwise1,Ctrl_fund_age,as_偏股混合型基金,0.4070461175776075,1.3901683661370105e-37,***,105
FAC_rank_vol_m3_n6_pairwise1,Ctrl_fund_age,Ctrl_log_fund_size,0.7671210352246254,4.480503484409556e-116,***,105
FAC_rank_vol_m3_n6_pairwise1,Ctrl_fund_age,Ctrl_fund_age,1.0,,,105
FAC_rank_vol_m6_n3_pairwise1,FAC_rank_vol_m6_n3_pairwise1,FAC_rank_vol_m6_n3_pairwise1,1.0,,,105
FAC_rank_vol_m6_n3_pairwise1,FAC_rank_vol_m6_n3_pairwise1,CtrlRetSTR,-0.12106744915361191,1.2736857142560797e-09,***,105
