factor,variable,FAC_rank_vol_m3_n6_pairwise1,CtrlRetSTR,CtrlRetLTM,CtrlVol,as_偏股混合型基金,Ctrl_log_fund_size,Ctrl_fund_age,FAC_rank_vol_m6_n3_pairwise1,FAC_rank_vol_m6_n6_pairwise1,FAC_rank_vol_m6_n12_pairwise1,FAC_rank_vol_m12_n6_pairwise1
FAC_rank_vol_m3_n6_pairwise1,FAC_rank_vol_m3_n6_pairwise1,1.000,-0.167,-0.313,-0.152,0.005,-0.022,0.029,,,,
FAC_rank_vol_m3_n6_pairwise1,CtrlRetSTR,***,1.000,-0.023,-0.004,0.020,0.036,0.000,,,,
FAC_rank_vol_m3_n6_pairwise1,CtrlRetLTM,***,,1.000,0.065,0.001,0.143,-0.007,,,,
FAC_rank_vol_m3_n6_pairwise1,CtrlVol,***,,*,1.000,-0.004,-0.050,-0.069,,,,
FAC_rank_vol_m3_n6_pairwise1,as_偏股混合型基金,,**,,,1.000,0.345,0.407,,,,
FAC_rank_vol_m3_n6_pairwise1,Ctrl_log_fund_size,*,***,***,***,***,1.000,0.767,,,,
FAC_rank_vol_m3_n6_pairwise1,Ctrl_fund_age,**,,,***,***,***,1.000,,,,
FAC_rank_vol_m6_n3_pairwise1,FAC_rank_vol_m6_n3_pairwise1,,-0.121,-0.239,-0.247,-0.032,-0.004,0.027,1.000,,,
FAC_rank_vol_m6_n3_pairwise1,CtrlRetSTR,,1.000,-0.025,-0.004,0.011,0.036,0.001,***,,,
FAC_rank_vol_m6_n3_pairwise1,CtrlRetLTM,,,1.000,0.079,0.003,0.139,-0.014,***,,,
FAC_rank_vol_m6_n3_pairwise1,CtrlVol,,,**,1.000,-0.006,-0.051,-0.070,***,,,
FAC_rank_vol_m6_n3_pairwise1,as_偏股混合型基金,,,,,1.000,0.341,0.401,***,,,
FAC_rank_vol_m6_n3_pairwise1,Ctrl_log_fund_size,,***,***,***,***,1.000,0.767,,,,
FAC_rank_vol_m6_n3_pairwise1,Ctrl_fund_age,,,,***,***,***,1.000,***,,,
FAC_rank_vol_m6_n6_pairwise1,FAC_rank_vol_m6_n6_pairwise1,,-0.127,-0.425,-0.249,-0.019,-0.051,0.016,,1.000,,
FAC_rank_vol_m6_n6_pairwise1,CtrlRetSTR,,1.000,0.039,-0.012,0.014,0.040,-0.005,,***,,
FAC_rank_vol_m6_n6_pairwise1,CtrlRetLTM,,,1.000,0.022,0.026,0.141,0.020,,***,,
FAC_rank_vol_m6_n6_pairwise1,CtrlVol,,,,1.000,0.006,-0.041,-0.046,,***,,
FAC_rank_vol_m6_n6_pairwise1,as_偏股混合型基金,,,*,,1.000,0.378,0.449,,,,
FAC_rank_vol_m6_n6_pairwise1,Ctrl_log_fund_size,,***,***,***,***,1.000,0.775,,***,,
FAC_rank_vol_m6_n6_pairwise1,Ctrl_fund_age,,,*,***,***,***,1.000,,,,
FAC_rank_vol_m6_n12_pairwise1,FAC_rank_vol_m6_n12_pairwise1,,-0.087,-0.411,-0.223,-0.066,-0.052,-0.009,,,1.000,
FAC_rank_vol_m6_n12_pairwise1,CtrlRetSTR,,1.000,0.018,-0.003,0.017,0.050,0.006,,,***,
FAC_rank_vol_m6_n12_pairwise1,CtrlRetLTM,,,1.000,-0.033,0.035,0.108,0.033,,,***,
FAC_rank_vol_m6_n12_pairwise1,CtrlVol,,,,1.000,-0.012,-0.035,-0.006,,,***,
FAC_rank_vol_m6_n12_pairwise1,as_偏股混合型基金,,,**,,1.000,0.494,0.579,,,***,
FAC_rank_vol_m6_n12_pairwise1,Ctrl_log_fund_size,,***,***,***,***,1.000,0.774,,,***,
FAC_rank_vol_m6_n12_pairwise1,Ctrl_fund_age,,,***,,***,***,1.000,,,,
FAC_rank_vol_m12_n6_pairwise1,FAC_rank_vol_m12_n6_pairwise1,,-0.076,-0.245,-0.324,-0.081,-0.037,0.001,,,,1.000
FAC_rank_vol_m12_n6_pairwise1,CtrlRetSTR,,1.000,0.035,0.009,0.020,0.049,0.004,,,,***
FAC_rank_vol_m12_n6_pairwise1,CtrlRetLTM,,,1.000,-0.011,0.038,0.104,0.026,,,,***
FAC_rank_vol_m12_n6_pairwise1,CtrlVol,,,,1.000,-0.016,-0.027,-0.002,,,,***
FAC_rank_vol_m12_n6_pairwise1,as_偏股混合型基金,,,**,,1.000,0.494,0.577,,,,***
FAC_rank_vol_m12_n6_pairwise1,Ctrl_log_fund_size,,***,***,**,***,1.000,0.770,,,,***
FAC_rank_vol_m12_n6_pairwise1,Ctrl_fund_age,,,***,,***,***,1.000,,,,
