factor,control_variable,mean_corr,p_value,stars,n_months
FAC_rank_vol_m3_n6_pairwise1,CtrlRetSTR,-0.016914603801269638,0.14421809987208492,,153
FAC_rank_vol_m3_n6_pairwise1,CtrlRetLTM,0.013911002577237609,0.20965404448854955,,153
FAC_rank_vol_m3_n6_pairwise1,CtrlVol,-0.11926595647308402,7.680565452935304e-18,***,153
FAC_rank_vol_m3_n6_pairwise1,as_偏股混合型基金,-0.01628232835271406,0.1748241874707584,,153
FAC_rank_vol_m3_n6_pairwise1,Ctrl_log_fund_size,0.010031101633034487,0.21911910292173667,,153
FAC_rank_vol_m3_n6_pairwise1,Ctrl_fund_age,0.013978306933771133,0.060202007029822244,*,153
FAC_rank_vol_m6_n3_pairwise1,CtrlRetSTR,-0.014462203798158746,0.21011219508687215,,153
FAC_rank_vol_m6_n3_pairwise1,CtrlRetLTM,-0.021874072631006776,0.052550148528073576,*,153
FAC_rank_vol_m6_n3_pairwise1,CtrlVol,-0.2257070489408844,2.498414986286153e-34,***,153
FAC_rank_vol_m6_n3_pairwise1,as_偏股混合型基金,-0.03426775301094569,3.103194322603246e-05,***,153
FAC_rank_vol_m6_n3_pairwise1,Ctrl_log_fund_size,7.149326145370309e-05,0.992453635355922,,153
FAC_rank_vol_m6_n3_pairwise1,Ctrl_fund_age,0.016370451818244022,0.04800398835218439,**,153
FAC_rank_vol_m6_n6_pairwise1,CtrlRetSTR,0.001368867326184481,0.9066392786007607,,145
FAC_rank_vol_m6_n6_pairwise1,CtrlRetLTM,-0.002394996662112299,0.8150019222449854,,145
FAC_rank_vol_m6_n6_pairwise1,CtrlVol,-0.19552554490287632,3.751621191712232e-30,***,145
FAC_rank_vol_m6_n6_pairwise1,as_偏股混合型基金,-0.01995352888041975,0.06587961390339658,*,144
FAC_rank_vol_m6_n6_pairwise1,Ctrl_log_fund_size,-0.00960938180635861,0.2784793394563836,,145
FAC_rank_vol_m6_n6_pairwise1,Ctrl_fund_age,0.025779744696323003,0.008179337107369511,***,145
FAC_rank_vol_m6_n12_pairwise1,CtrlRetSTR,-0.01811013265658269,0.15066320348315024,,115
FAC_rank_vol_m6_n12_pairwise1,CtrlRetLTM,0.03800423069435655,0.0038079397166552267,***,115
FAC_rank_vol_m6_n12_pairwise1,CtrlVol,-0.1065209877837437,3.628412696410886e-11,***,115
FAC_rank_vol_m6_n12_pairwise1,as_偏股混合型基金,-0.02450147685781681,0.08589592396529697,*,108
FAC_rank_vol_m6_n12_pairwise1,Ctrl_log_fund_size,0.005329891656146389,0.6389422571504478,,115
FAC_rank_vol_m6_n12_pairwise1,Ctrl_fund_age,0.016198924047430327,0.12313007914644848,,115
FAC_rank_vol_m12_n6_pairwise1,CtrlRetSTR,0.0032117218040579668,0.7960274435106858,,115
FAC_rank_vol_m12_n6_pairwise1,CtrlRetLTM,-0.005215735869800225,0.6503249239016109,,115
FAC_rank_vol_m12_n6_pairwise1,CtrlVol,-0.23570661275325322,9.992218325076297e-34,***,115
FAC_rank_vol_m12_n6_pairwise1,as_偏股混合型基金,-0.024602457991852796,0.002166811685571741,***,108
FAC_rank_vol_m12_n6_pairwise1,Ctrl_log_fund_size,-0.019990662611660725,0.0624089052357312,*,115
FAC_rank_vol_m12_n6_pairwise1,Ctrl_fund_age,0.046911613491097105,0.00038409062416114943,***,115
