factor,variable,FAC_rank_vol_m3_n6_pairwise1,CtrlRetSTR,CtrlRetLTM,CtrlVol,as_偏股混合型基金,Ctrl_log_fund_size,Ctrl_fund_age,FAC__x__RANK_MEAN,FAC_rank_vol_m6_n3_pairwise1,FAC_rank_vol_m6_n6_pairwise1,FAC_rank_vol_m6_n12_pairwise1,FAC_rank_vol_m12_n6_pairwise1
FAC_rank_vol_m3_n6_pairwise1,FAC_rank_vol_m3_n6_pairwise1,1.000,-0.017,0.014,-0.122,-0.016,0.013,0.014,0.182,,,,
FAC_rank_vol_m3_n6_pairwise1,CtrlRetSTR,,1.000,0.047,-0.012,-0.003,0.038,-0.019,0.163,,,,
FAC_rank_vol_m3_n6_pairwise1,CtrlRetLTM,,**,1.000,0.062,-0.024,0.137,-0.063,0.733,,,,
FAC_rank_vol_m3_n6_pairwise1,CtrlVol,***,,**,1.000,-0.007,-0.081,-0.104,-0.045,,,,
FAC_rank_vol_m3_n6_pairwise1,as_偏股混合型基金,,,***,,1.000,0.226,0.264,-0.065,,,,
FAC_rank_vol_m3_n6_pairwise1,Ctrl_log_fund_size,*,***,***,***,***,1.000,0.746,0.112,,,,
FAC_rank_vol_m3_n6_pairwise1,Ctrl_fund_age,*,**,***,***,***,***,1.000,-0.034,,,,
FAC_rank_vol_m3_n6_pairwise1,FAC__x__RANK_MEAN,***,***,***,*,***,***,***,1.000,,,,
FAC_rank_vol_m6_n3_pairwise1,FAC_rank_vol_m6_n3_pairwise1,,-0.015,-0.022,-0.230,-0.034,0.020,0.017,0.286,1.000,,,
FAC_rank_vol_m6_n3_pairwise1,CtrlRetSTR,,1.000,0.047,-0.012,-0.003,0.038,-0.019,0.165,,,,
FAC_rank_vol_m6_n3_pairwise1,CtrlRetLTM,,**,1.000,0.062,-0.024,0.137,-0.063,0.693,**,,,
FAC_rank_vol_m6_n3_pairwise1,CtrlVol,,,**,1.000,-0.007,-0.081,-0.104,-0.096,***,,,
FAC_rank_vol_m6_n3_pairwise1,as_偏股混合型基金,,,***,,1.000,0.226,0.264,-0.089,***,,,
FAC_rank_vol_m6_n3_pairwise1,Ctrl_log_fund_size,,***,***,***,***,1.000,0.746,0.118,**,,,
FAC_rank_vol_m6_n3_pairwise1,Ctrl_fund_age,,**,***,***,***,***,1.000,-0.024,**,,,
FAC_rank_vol_m6_n3_pairwise1,FAC__x__RANK_MEAN,,***,***,***,***,***,***,1.000,***,,,
FAC_rank_vol_m6_n6_pairwise1,FAC_rank_vol_m6_n6_pairwise1,,0.001,-0.003,-0.200,-0.020,0.018,0.026,0.207,,1.000,,
FAC_rank_vol_m6_n6_pairwise1,CtrlRetSTR,,1.000,0.040,-0.016,-0.007,0.039,-0.017,0.123,,,,
FAC_rank_vol_m6_n6_pairwise1,CtrlRetLTM,,*,1.000,0.051,-0.018,0.125,-0.057,0.825,,,,
FAC_rank_vol_m6_n6_pairwise1,CtrlVol,,,*,1.000,-0.002,-0.080,-0.098,-0.043,,***,,
FAC_rank_vol_m6_n6_pairwise1,as_偏股混合型基金,,,**,,1.000,0.243,0.283,-0.074,,*,,
FAC_rank_vol_m6_n6_pairwise1,Ctrl_log_fund_size,,***,***,***,***,1.000,0.745,0.112,,*,,
FAC_rank_vol_m6_n6_pairwise1,Ctrl_fund_age,,*,***,***,***,***,1.000,-0.038,,***,,
FAC_rank_vol_m6_n6_pairwise1,FAC__x__RANK_MEAN,,***,***,*,***,***,***,1.000,,***,,
FAC_rank_vol_m6_n12_pairwise1,FAC_rank_vol_m6_n12_pairwise1,,-0.019,0.038,-0.112,-0.025,0.010,0.016,0.129,,,1.000,
FAC_rank_vol_m6_n12_pairwise1,CtrlRetSTR,,1.000,0.048,-0.006,-0.001,0.039,-0.010,0.086,,,,
FAC_rank_vol_m6_n12_pairwise1,CtrlRetLTM,,*,1.000,0.120,0.006,0.095,-0.063,0.862,,,***,
FAC_rank_vol_m6_n12_pairwise1,CtrlVol,,,***,1.000,-0.011,-0.078,-0.094,0.099,,,***,
FAC_rank_vol_m6_n12_pairwise1,as_偏股混合型基金,,,,,1.000,0.340,0.378,-0.061,,,*,
FAC_rank_vol_m6_n12_pairwise1,Ctrl_log_fund_size,,***,***,***,***,1.000,0.748,0.092,,,,
FAC_rank_vol_m6_n12_pairwise1,Ctrl_fund_age,,,***,***,***,***,1.000,-0.084,,,,
FAC_rank_vol_m6_n12_pairwise1,FAC__x__RANK_MEAN,,***,***,***,***,***,***,1.000,,,***,
FAC_rank_vol_m12_n6_pairwise1,FAC_rank_vol_m12_n6_pairwise1,,0.003,-0.006,-0.241,-0.025,0.018,0.047,0.226,,,,1.000
FAC_rank_vol_m12_n6_pairwise1,CtrlRetSTR,,1.000,0.048,-0.006,-0.001,0.039,-0.010,0.087,,,,
FAC_rank_vol_m12_n6_pairwise1,CtrlRetLTM,,*,1.000,0.120,0.006,0.095,-0.063,0.827,,,,
FAC_rank_vol_m12_n6_pairwise1,CtrlVol,,,***,1.000,-0.011,-0.078,-0.094,0.037,,,,***
FAC_rank_vol_m12_n6_pairwise1,as_偏股混合型基金,,,,,1.000,0.340,0.378,-0.054,,,,***
FAC_rank_vol_m12_n6_pairwise1,Ctrl_log_fund_size,,***,***,***,***,1.000,0.748,0.102,,,,
FAC_rank_vol_m12_n6_pairwise1,Ctrl_fund_age,,,***,***,***,***,1.000,-0.062,,,,***
FAC_rank_vol_m12_n6_pairwise1,FAC__x__RANK_MEAN,,***,***,,***,***,***,1.000,,,,***
