factor,variable,coef,newey_west_se,t_stat,p_value,n_months,avg_monthly_n,total_regression_obs,avg_r_squared,avg_adj_r_squared,newey_west_lag,min_cross_section_n
FAC_rank_vol_m3_n6_pairwise1,const,0.2141850691018912,0.04185526134925509,5.11727945776411,9.231033503719529e-07,153,217.37254901960785,33258,0.2490943775089717,0.19763021246508777,5,50
FAC_rank_vol_m3_n6_pairwise1,FAC_rank_vol_m3_n6_pairwise1,-0.029315193763061874,0.011890774014183007,-2.465373047044328,0.01479951332794971,153,217.37254901960785,33258,0.2490943775089717,0.19763021246508777,5,50
FAC_rank_vol_m3_n6_pairwise1,CtrlRetSTR,0.1329218343399881,0.07346958558403771,1.8092089846885868,0.07239457300859216,153,217.37254901960785,33258,0.2490943775089717,0.19763021246508777,5,50
FAC_rank_vol_m3_n6_pairwise1,CtrlRetLTM,0.014442217812690072,0.030727696433024518,0.4700065247054554,0.639023984479857,153,217.37254901960785,33258,0.2490943775089717,0.19763021246508777,5,50
FAC_rank_vol_m3_n6_pairwise1,CtrlVol,0.0016349556324635978,0.2525351321220762,0.00647417101424627,0.9948428842433594,153,217.37254901960785,33258,0.2490943775089717,0.19763021246508777,5,50
FAC_rank_vol_m3_n6_pairwise1,as_偏股混合型基金,0.008163277798812749,0.0068066435340328885,1.199310314694277,0.23227351605102978,153,217.37254901960785,33258,0.2490943775089717,0.19763021246508777,5,50
FAC_rank_vol_m3_n6_pairwise1,Ctrl_log_fund_size,-0.006576477616453797,0.0015720318424907636,-4.1834251945137915,4.837274392226873e-05,153,217.37254901960785,33258,0.2490943775089717,0.19763021246508777,5,50
FAC_rank_vol_m3_n6_pairwise1,Ctrl_fund_age,-4.668416545824639e-05,4.000400908634281e-05,-1.1669871726477574,0.2450430799615096,153,217.37254901960785,33258,0.2490943775089717,0.19763021246508777,5,50
FAC_rank_vol_m3_n6_pairwise1,FAC__x__RANK_MEAN,0.02578373860121137,0.013111895570485945,1.9664386787253667,0.05106930070750201,153,217.37254901960785,33258,0.2490943775089717,0.19763021246508777,5,50
FAC_rank_vol_m6_n3_pairwise1,const,0.22898753526453205,0.04292907142068133,5.334090109254401,3.4197971467941827e-07,153,217.37254901960785,33258,0.25102974289346003,0.19979635657819803,5,50
FAC_rank_vol_m6_n3_pairwise1,FAC_rank_vol_m6_n3_pairwise1,-0.05089836222362553,0.014569191993716842,-3.4935610873668304,0.0006245291145953916,153,217.37254901960785,33258,0.25102974289346003,0.19979635657819803,5,50
FAC_rank_vol_m6_n3_pairwise1,CtrlRetSTR,0.13443380859012863,0.07248999020517999,1.8545154746140697,0.06560297096823124,153,217.37254901960785,33258,0.25102974289346003,0.19979635657819803,5,50
FAC_rank_vol_m6_n3_pairwise1,CtrlRetLTM,0.01303555332028678,0.029048429850304883,0.448752424398249,0.6542493623667357,153,217.37254901960785,33258,0.25102974289346003,0.19979635657819803,5,50
FAC_rank_vol_m6_n3_pairwise1,CtrlVol,-0.04584456722999826,0.26361293047005835,-0.17390864381444054,0.8621686589112189,153,217.37254901960785,33258,0.25102974289346003,0.19979635657819803,5,50
FAC_rank_vol_m6_n3_pairwise1,as_偏股混合型基金,0.008171535930681597,0.006869910893661577,1.1894675283519245,0.23611046577954736,153,217.37254901960785,33258,0.25102974289346003,0.19979635657819803,5,50
FAC_rank_vol_m6_n3_pairwise1,Ctrl_log_fund_size,-0.006680245411794094,0.0015435819174266997,-4.327755680716129,2.7188436547667747e-05,153,217.37254901960785,33258,0.25102974289346003,0.19979635657819803,5,50
FAC_rank_vol_m6_n3_pairwise1,Ctrl_fund_age,-3.9355884228644736e-05,3.755901125307511e-05,-1.0478413279695298,0.29637502925455406,153,217.37254901960785,33258,0.25102974289346003,0.19979635657819803,5,50
FAC_rank_vol_m6_n3_pairwise1,FAC__x__RANK_MEAN,0.037562217521870424,0.016877483458254343,2.225581652310831,0.02751413719122124,153,217.37254901960785,33258,0.25102974289346003,0.19979635657819803,5,50
FAC_rank_vol_m6_n6_pairwise1,const,0.1972881388584635,0.04353686281308966,4.531519409321047,1.2265079075294639e-05,144,195.43055555555554,28142,0.2537601027692238,0.1973764688314981,5,50
FAC_rank_vol_m6_n6_pairwise1,FAC_rank_vol_m6_n6_pairwise1,-0.023012891218797904,0.01474777374115588,-1.5604315351392306,0.12086832596445933,144,195.43055555555554,28142,0.2537601027692238,0.1973764688314981,5,50
FAC_rank_vol_m6_n6_pairwise1,CtrlRetSTR,0.1336202021876901,0.07918109030931296,1.6875266767067267,0.09368211641765765,144,195.43055555555554,28142,0.2537601027692238,0.1973764688314981,5,50
FAC_rank_vol_m6_n6_pairwise1,CtrlRetLTM,0.0015068726279879041,0.03277885867090653,0.045970869306848565,0.9633976041562973,144,195.43055555555554,28142,0.2537601027692238,0.1973764688314981,5,50
FAC_rank_vol_m6_n6_pairwise1,CtrlVol,0.011966068397459765,0.2581741906872153,0.04634881730667247,0.9630968947966387,144,195.43055555555554,28142,0.2537601027692238,0.1973764688314981,5,50
FAC_rank_vol_m6_n6_pairwise1,as_偏股混合型基金,0.012158246734450897,0.0060680641419201455,2.003645058801835,0.046997273487405365,144,195.43055555555554,28142,0.2537601027692238,0.1973764688314981,5,50
FAC_rank_vol_m6_n6_pairwise1,Ctrl_log_fund_size,-0.006200876110655475,0.001516974318941201,-4.0876605709340454,7.236138208282142e-05,144,195.43055555555554,28142,0.2537601027692238,0.1973764688314981,5,50
FAC_rank_vol_m6_n6_pairwise1,Ctrl_fund_age,-2.861910100446058e-05,4.647524787000179e-05,-0.6157923263693499,0.5390104830993866,144,195.43055555555554,28142,0.2537601027692238,0.1973764688314981,5,50
FAC_rank_vol_m6_n6_pairwise1,FAC__x__RANK_MEAN,0.03079340752773411,0.015090892314328254,2.04052927330857,0.043137601089569926,144,195.43055555555554,28142,0.2537601027692238,0.1973764688314981,5,50
FAC_rank_vol_m6_n12_pairwise1,const,0.2611340056688788,0.06256094346249459,4.17407397037465,6.112624201644327e-05,108,181.72222222222223,19626,0.2706520297965025,0.21849276298334275,5,50
FAC_rank_vol_m6_n12_pairwise1,FAC_rank_vol_m6_n12_pairwise1,-0.013324879411876487,0.031021600267769275,-0.4295355267574874,0.6683972595477186,108,181.72222222222223,19626,0.2706520297965025,0.21849276298334275,5,50
FAC_rank_vol_m6_n12_pairwise1,CtrlRetSTR,0.17026130039776527,0.10130183309964501,1.6807326697660905,0.09573190525705562,108,181.72222222222223,19626,0.2706520297965025,0.21849276298334275,5,50
FAC_rank_vol_m6_n12_pairwise1,CtrlRetLTM,0.09273008591702728,0.05367924459125206,1.7274849268676036,0.0869659367437399,108,181.72222222222223,19626,0.2706520297965025,0.21849276298334275,5,50
FAC_rank_vol_m6_n12_pairwise1,CtrlVol,0.0350266477025928,0.2869797058851672,0.12205269914315284,0.9030862172558447,108,181.72222222222223,19626,0.2706520297965025,0.21849276298334275,5,50
FAC_rank_vol_m6_n12_pairwise1,as_偏股混合型基金,0.004683603189901131,0.007204119762228273,0.6501284465671442,0.5170026805380117,108,181.72222222222223,19626,0.2706520297965025,0.21849276298334275,5,50
FAC_rank_vol_m6_n12_pairwise1,Ctrl_log_fund_size,-0.007855585173448483,0.0015433064276072425,-5.090100729786928,1.5416460403326518e-06,108,181.72222222222223,19626,0.2706520297965025,0.21849276298334275,5,50
FAC_rank_vol_m6_n12_pairwise1,Ctrl_fund_age,-4.771693878601909e-05,4.732123081156563e-05,-1.0083621657270323,0.3155555030466422,108,181.72222222222223,19626,0.2706520297965025,0.21849276298334275,5,50
FAC_rank_vol_m6_n12_pairwise1,FAC__x__RANK_MEAN,-0.019352261687343407,0.023209201099206135,-0.8338185189840656,0.40624082032372655,108,181.72222222222223,19626,0.2706520297965025,0.21849276298334275,5,50
FAC_rank_vol_m12_n6_pairwise1,const,0.24065409154399117,0.05759339363925297,4.178501670718924,6.0112956516706996e-05,108,181.72222222222223,19626,0.26215682997418904,0.20869980614560896,5,50
FAC_rank_vol_m12_n6_pairwise1,FAC_rank_vol_m12_n6_pairwise1,0.0160969939924811,0.030278280918777333,0.5316350038386233,0.5960808319901092,108,181.72222222222223,19626,0.26215682997418904,0.20869980614560896,5,50
FAC_rank_vol_m12_n6_pairwise1,CtrlRetSTR,0.1653021689238786,0.10031633094262338,1.6478091589935076,0.10232539183627881,108,181.72222222222223,19626,0.26215682997418904,0.20869980614560896,5,50
FAC_rank_vol_m12_n6_pairwise1,CtrlRetLTM,0.06509331181851631,0.05078399176030888,1.2817683203349748,0.20269441421570375,108,181.72222222222223,19626,0.26215682997418904,0.20869980614560896,5,50
FAC_rank_vol_m12_n6_pairwise1,CtrlVol,0.019755901780801333,0.301832139157411,0.06545327424690937,0.947935242934316,108,181.72222222222223,19626,0.26215682997418904,0.20869980614560896,5,50
FAC_rank_vol_m12_n6_pairwise1,as_偏股混合型基金,0.00395280996789392,0.006138280912461494,0.6439604221874583,0.5209790633485603,108,181.72222222222223,19626,0.26215682997418904,0.20869980614560896,5,50
FAC_rank_vol_m12_n6_pairwise1,Ctrl_log_fund_size,-0.008121848963390249,0.001620085771334241,-5.01322158807765,2.1334061014007573e-06,108,181.72222222222223,19626,0.26215682997418904,0.20869980614560896,5,50
FAC_rank_vol_m12_n6_pairwise1,Ctrl_fund_age,-5.2552330117414254e-05,4.406925466982916e-05,-1.1924941892287733,0.2357053614641815,108,181.72222222222223,19626,0.26215682997418904,0.20869980614560896,5,50
FAC_rank_vol_m12_n6_pairwise1,FAC__x__RANK_MEAN,-0.004705803472772202,0.031066957331866617,-0.15147294350403837,0.8798878720947005,108,181.72222222222223,19626,0.26215682997418904,0.20869980614560896,5,50
