sort_col,ret_col,portfolio,n_periods
FAC_rank_vol_m3_n6_pairwise1__x__CtrlRetLTM,future_ret_6m,Low,56
FAC_rank_vol_m3_n6_pairwise1__x__CtrlRetLTM,future_ret_6m,Q2,56
FAC_rank_vol_m3_n6_pairwise1__x__CtrlRetLTM,future_ret_6m,Q3,56
FAC_rank_vol_m3_n6_pairwise1__x__CtrlRetLTM,future_ret_6m,Q4,56
FAC_rank_vol_m3_n6_pairwise1__x__CtrlRetLTM,future_ret_6m,High,56
FAC_rank_vol_m3_n6_pairwise1__x__CtrlRetLTM,future_ret_6m,High-Low,56
FAC_rank_vol_m6_n3_pairwise1__x__CtrlRetLTM,future_ret_6m,Low,56
FAC_rank_vol_m6_n3_pairwise1__x__CtrlRetLTM,future_ret_6m,Q2,56
FAC_rank_vol_m6_n3_pairwise1__x__CtrlRetLTM,future_ret_6m,Q3,56
FAC_rank_vol_m6_n3_pairwise1__x__CtrlRetLTM,future_ret_6m,Q4,56
FAC_rank_vol_m6_n3_pairwise1__x__CtrlRetLTM,future_ret_6m,High,56
FAC_rank_vol_m6_n3_pairwise1__x__CtrlRetLTM,future_ret_6m,High-Low,56
FAC_rank_vol_m6_n6_pairwise1__x__CtrlRetLTM,future_ret_6m,Low,55
FAC_rank_vol_m6_n6_pairwise1__x__CtrlRetLTM,future_ret_6m,Q2,55
FAC_rank_vol_m6_n6_pairwise1__x__CtrlRetLTM,future_ret_6m,Q3,55
FAC_rank_vol_m6_n6_pairwise1__x__CtrlRetLTM,future_ret_6m,Q4,55
FAC_rank_vol_m6_n6_pairwise1__x__CtrlRetLTM,future_ret_6m,High,55
FAC_rank_vol_m6_n6_pairwise1__x__CtrlRetLTM,future_ret_6m,High-Low,55
FAC_rank_vol_m6_n12_pairwise1__x__CtrlRetLTM,future_ret_6m,Low,52
FAC_rank_vol_m6_n12_pairwise1__x__CtrlRetLTM,future_ret_6m,Q2,52
FAC_rank_vol_m6_n12_pairwise1__x__CtrlRetLTM,future_ret_6m,Q3,51
FAC_rank_vol_m6_n12_pairwise1__x__CtrlRetLTM,future_ret_6m,Q4,52
FAC_rank_vol_m6_n12_pairwise1__x__CtrlRetLTM,future_ret_6m,High,52
FAC_rank_vol_m6_n12_pairwise1__x__CtrlRetLTM,future_ret_6m,High-Low,52
FAC_rank_vol_m12_n6_pairwise1__x__CtrlRetLTM,future_ret_6m,Low,52
FAC_rank_vol_m12_n6_pairwise1__x__CtrlRetLTM,future_ret_6m,Q2,52
FAC_rank_vol_m12_n6_pairwise1__x__CtrlRetLTM,future_ret_6m,Q3,51
FAC_rank_vol_m12_n6_pairwise1__x__CtrlRetLTM,future_ret_6m,Q4,52
FAC_rank_vol_m12_n6_pairwise1__x__CtrlRetLTM,future_ret_6m,High,52
FAC_rank_vol_m12_n6_pairwise1__x__CtrlRetLTM,future_ret_6m,High-Low,52
