sort_col,portfolio,consistency_mean,future_ret_6m
FAC_rank_vol_m12_n6_pairwise1__x__CtrlRetLTM,Q1,-0.019227702050948745,0.04505970857622213
FAC_rank_vol_m12_n6_pairwise1__x__CtrlRetLTM,Q2,0.047901307126506226,0.053433073606728825
FAC_rank_vol_m12_n6_pairwise1__x__CtrlRetLTM,Q3,0.09036236043582206,0.05695122651155217
FAC_rank_vol_m12_n6_pairwise1__x__CtrlRetLTM,Q4,0.13784733818414133,0.06074906422852081
FAC_rank_vol_m12_n6_pairwise1__x__CtrlRetLTM,Q5,0.23270408380903213,0.05897372217018536
FAC_rank_vol_m12_n6_pairwise1__x__CtrlRetLTM,long-short,0.2519317858599809,0.013914013593963243
FAC_rank_vol_m12_n6_pairwise1__x__CtrlRetLTM,t-stat,,2.317990153098519
FAC_rank_vol_m12_n6_pairwise1__x__CtrlRetLTM,p-value,,0.02449762495920323
FAC_rank_vol_m3_n6_pairwise1__x__CtrlRetLTM,Q1,0.06209010896775851,0.059428279909370184
FAC_rank_vol_m3_n6_pairwise1__x__CtrlRetLTM,Q2,0.14043668284591074,0.06684872704244069
FAC_rank_vol_m3_n6_pairwise1__x__CtrlRetLTM,Q3,0.1957325261699219,0.07186185677682523
FAC_rank_vol_m3_n6_pairwise1__x__CtrlRetLTM,Q4,0.2530065246305953,0.07288685768571014
FAC_rank_vol_m3_n6_pairwise1__x__CtrlRetLTM,Q5,0.36388960861840175,0.0724309196592319
FAC_rank_vol_m3_n6_pairwise1__x__CtrlRetLTM,long-short,0.3017994996506432,0.013002639749861723
FAC_rank_vol_m3_n6_pairwise1__x__CtrlRetLTM,t-stat,,2.0672487161382604
FAC_rank_vol_m3_n6_pairwise1__x__CtrlRetLTM,p-value,,0.04342940052602954
FAC_rank_vol_m6_n12_pairwise1__x__CtrlRetLTM,Q1,-0.023924361926558387,0.04526905969446071
FAC_rank_vol_m6_n12_pairwise1__x__CtrlRetLTM,Q2,0.053945699486406214,0.05219400971468971
FAC_rank_vol_m6_n12_pairwise1__x__CtrlRetLTM,Q3,0.10147350605120614,0.05699463620747801
FAC_rank_vol_m6_n12_pairwise1__x__CtrlRetLTM,Q4,0.15285847444769043,0.06271967865796024
FAC_rank_vol_m6_n12_pairwise1__x__CtrlRetLTM,Q5,0.26149006147927095,0.057600543644711164
FAC_rank_vol_m6_n12_pairwise1__x__CtrlRetLTM,long-short,0.2854144234058294,0.012331483950250448
FAC_rank_vol_m6_n12_pairwise1__x__CtrlRetLTM,t-stat,,2.12304984797266
FAC_rank_vol_m6_n12_pairwise1__x__CtrlRetLTM,p-value,,0.03862385448552375
FAC_rank_vol_m6_n3_pairwise1__x__CtrlRetLTM,Q1,0.0537067530057801,0.05956337337226336
FAC_rank_vol_m6_n3_pairwise1__x__CtrlRetLTM,Q2,0.12861562853520106,0.06584526991825003
FAC_rank_vol_m6_n3_pairwise1__x__CtrlRetLTM,Q3,0.1738740099112943,0.0715651409305753
FAC_rank_vol_m6_n3_pairwise1__x__CtrlRetLTM,Q4,0.225975175299741,0.07260816206507767
FAC_rank_vol_m6_n3_pairwise1__x__CtrlRetLTM,Q5,0.32355453196310596,0.07376993471675156
FAC_rank_vol_m6_n3_pairwise1__x__CtrlRetLTM,long-short,0.2698477789573258,0.014206561344488196
FAC_rank_vol_m6_n3_pairwise1__x__CtrlRetLTM,t-stat,,2.151780133477481
FAC_rank_vol_m6_n3_pairwise1__x__CtrlRetLTM,p-value,,0.03582116713347695
FAC_rank_vol_m6_n6_pairwise1__x__CtrlRetLTM,Q1,0.03860811336785438,0.056944537802309625
FAC_rank_vol_m6_n6_pairwise1__x__CtrlRetLTM,Q2,0.11167571969420115,0.06694933955941433
FAC_rank_vol_m6_n6_pairwise1__x__CtrlRetLTM,Q3,0.15756740703630473,0.06699778635578958
FAC_rank_vol_m6_n6_pairwise1__x__CtrlRetLTM,Q4,0.21131065941862548,0.07328114021207024
FAC_rank_vol_m6_n6_pairwise1__x__CtrlRetLTM,Q5,0.3184069768789575,0.07210807582449265
FAC_rank_vol_m6_n6_pairwise1__x__CtrlRetLTM,long-short,0.27979886351110306,0.015163538022183017
FAC_rank_vol_m6_n6_pairwise1__x__CtrlRetLTM,t-stat,,2.3758610975318697
FAC_rank_vol_m6_n6_pairwise1__x__CtrlRetLTM,p-value,,0.0210857022928235
