ret_col,date,sort_col,economic_group,group_label,sort_mean,portfolio_ret,n_funds
future_ret_6m,2006-06-30,FAC_rank_vol_m3_n6_pairwise1__x__rank_mean_m3_n6_pairwise1,1,Low,0.23989534186335465,,2
future_ret_6m,2006-06-30,FAC_rank_vol_m3_n6_pairwise1__x__rank_mean_m3_n6_pairwise1,2,Q2,0.40167775783780546,,1
future_ret_6m,2006-06-30,FAC_rank_vol_m3_n6_pairwise1__x__rank_mean_m3_n6_pairwise1,3,Q3,0.652726356486434,,1
future_ret_6m,2006-06-30,FAC_rank_vol_m3_n6_pairwise1__x__rank_mean_m3_n6_pairwise1,4,Q4,0.7029360762161596,,1
future_ret_6m,2006-06-30,FAC_rank_vol_m3_n6_pairwise1__x__rank_mean_m3_n6_pairwise1,5,High,0.9951887477567531,,1
future_ret_6m,2006-09-29,FAC_rank_vol_m3_n6_pairwise1__x__rank_mean_m3_n6_pairwise1,1,Low,0.2582330611697755,,2
future_ret_6m,2006-09-29,FAC_rank_vol_m3_n6_pairwise1__x__rank_mean_m3_n6_pairwise1,2,Q2,0.40167775783780546,,1
future_ret_6m,2006-09-29,FAC_rank_vol_m3_n6_pairwise1__x__rank_mean_m3_n6_pairwise1,3,Q3,0.6877374291093797,,1
future_ret_6m,2006-09-29,FAC_rank_vol_m3_n6_pairwise1__x__rank_mean_m3_n6_pairwise1,4,Q4,0.6944444444444444,,1
future_ret_6m,2006-09-29,FAC_rank_vol_m3_n6_pairwise1__x__rank_mean_m3_n6_pairwise1,5,High,0.7043936199475221,,1
future_ret_6m,2006-12-29,FAC_rank_vol_m3_n6_pairwise1__x__rank_mean_m3_n6_pairwise1,1,Low,0.19910211984136772,,2
future_ret_6m,2006-12-29,FAC_rank_vol_m3_n6_pairwise1__x__rank_mean_m3_n6_pairwise1,2,Q2,0.3148588238638537,,1
future_ret_6m,2006-12-29,FAC_rank_vol_m3_n6_pairwise1__x__rank_mean_m3_n6_pairwise1,3,Q3,0.45582729681399525,,2
future_ret_6m,2006-12-29,FAC_rank_vol_m3_n6_pairwise1__x__rank_mean_m3_n6_pairwise1,4,Q4,0.5080125840160333,,1
future_ret_6m,2006-12-29,FAC_rank_vol_m3_n6_pairwise1__x__rank_mean_m3_n6_pairwise1,5,High,0.7196858569084961,,2
future_ret_6m,2007-03-30,FAC_rank_vol_m3_n6_pairwise1__x__rank_mean_m3_n6_pairwise1,1,Low,0.21643823452768707,,2
future_ret_6m,2007-03-30,FAC_rank_vol_m3_n6_pairwise1__x__rank_mean_m3_n6_pairwise1,2,Q2,0.28433526403599246,,1
future_ret_6m,2007-03-30,FAC_rank_vol_m3_n6_pairwise1__x__rank_mean_m3_n6_pairwise1,3,Q3,0.45676733967015515,,2
future_ret_6m,2007-03-30,FAC_rank_vol_m3_n6_pairwise1__x__rank_mean_m3_n6_pairwise1,4,Q4,0.6368343408123028,,1
future_ret_6m,2007-03-30,FAC_rank_vol_m3_n6_pairwise1__x__rank_mean_m3_n6_pairwise1,5,High,0.7836051977106091,,2
future_ret_6m,2007-06-29,FAC_rank_vol_m3_n6_pairwise1__x__rank_mean_m3_n6_pairwise1,1,Low,0.24122939204652566,,1
future_ret_6m,2007-06-29,FAC_rank_vol_m3_n6_pairwise1__x__rank_mean_m3_n6_pairwise1,2,Q2,0.3689591822203568,,1
future_ret_6m,2007-06-29,FAC_rank_vol_m3_n6_pairwise1__x__rank_mean_m3_n6_pairwise1,3,Q3,0.4315664048369428,,1
future_ret_6m,2007-06-29,FAC_rank_vol_m3_n6_pairwise1__x__rank_mean_m3_n6_pairwise1,4,Q4,0.5551728105302352,,1
future_ret_6m,2007-06-29,FAC_rank_vol_m3_n6_pairwise1__x__rank_mean_m3_n6_pairwise1,5,High,0.5940313258723374,,1
future_ret_6m,2007-09-28,FAC_rank_vol_m3_n6_pairwise1__x__rank_mean_m3_n6_pairwise1,1,Low,0.2079112457362002,,3
future_ret_6m,2007-09-28,FAC_rank_vol_m3_n6_pairwise1__x__rank_mean_m3_n6_pairwise1,2,Q2,0.34183819483140887,,2
future_ret_6m,2007-09-28,FAC_rank_vol_m3_n6_pairwise1__x__rank_mean_m3_n6_pairwise1,3,Q3,0.43199630405918393,,2
future_ret_6m,2007-09-28,FAC_rank_vol_m3_n6_pairwise1__x__rank_mean_m3_n6_pairwise1,4,Q4,0.6818414021328476,,2
future_ret_6m,2007-09-28,FAC_rank_vol_m3_n6_pairwise1__x__rank_mean_m3_n6_pairwise1,5,High,0.7716466290207925,,2
future_ret_6m,2007-12-28,FAC_rank_vol_m3_n6_pairwise1__x__rank_mean_m3_n6_pairwise1,1,Low,0.14813029225808055,,3
future_ret_6m,2007-12-28,FAC_rank_vol_m3_n6_pairwise1__x__rank_mean_m3_n6_pairwise1,2,Q2,0.24899313529731754,,2
future_ret_6m,2007-12-28,FAC_rank_vol_m3_n6_pairwise1__x__rank_mean_m3_n6_pairwise1,3,Q3,0.510225570206872,,3
future_ret_6m,2007-12-28,FAC_rank_vol_m3_n6_pairwise1__x__rank_mean_m3_n6_pairwise1,4,Q4,0.6152977940186501,,2
future_ret_6m,2007-12-28,FAC_rank_vol_m3_n6_pairwise1__x__rank_mean_m3_n6_pairwise1,5,High,0.7999366481288748,,3
future_ret_6m,2008-03-31,FAC_rank_vol_m3_n6_pairwise1__x__rank_mean_m3_n6_pairwise1,1,Low,0.17910886374540894,,3
future_ret_6m,2008-03-31,FAC_rank_vol_m3_n6_pairwise1__x__rank_mean_m3_n6_pairwise1,2,Q2,0.35626981306573935,,3
future_ret_6m,2008-03-31,FAC_rank_vol_m3_n6_pairwise1__x__rank_mean_m3_n6_pairwise1,3,Q3,0.40627847645750775,,3
