factor,control_variable,mean_corr,p_value,stars,n_months
FAC_rank_vol_m3_n6_pairwise1,CtrlRetSTR,0.09898504634762932,2.463153408089788e-07,***,107
FAC_rank_vol_m3_n6_pairwise1,CtrlRetLTM,0.2646307103789792,1.0468316058252288e-33,***,107
FAC_rank_vol_m3_n6_pairwise1,CtrlVol,-0.12659951177057793,5.889356067126109e-09,***,107
FAC_rank_vol_m3_n6_pairwise1,as_偏股混合型基金,-0.00560573361404555,0.6852618940903578,,107
FAC_rank_vol_m3_n6_pairwise1,Ctrl_log_fund_size,0.0232358946308692,0.03360950524811717,**,107
FAC_rank_vol_m3_n6_pairwise1,Ctrl_fund_age,0.01712201952487778,0.1605179404893378,,107
FAC_rank_vol_m6_n3_pairwise1,CtrlRetSTR,0.08078003844614566,4.619711006520221e-06,***,107
FAC_rank_vol_m6_n3_pairwise1,CtrlRetLTM,0.11520558476470583,1.294910395657865e-08,***,107
FAC_rank_vol_m6_n3_pairwise1,CtrlVol,-0.29782490243913623,6.177996663127368e-31,***,107
FAC_rank_vol_m6_n3_pairwise1,as_偏股混合型基金,0.00101706575820408,0.9084679583104258,,107
FAC_rank_vol_m6_n3_pairwise1,Ctrl_log_fund_size,0.009214691980433481,0.4020914452452554,,107
FAC_rank_vol_m6_n3_pairwise1,Ctrl_fund_age,0.02510307876510248,0.005432505987531648,***,107
FAC_rank_vol_m6_n6_pairwise1,CtrlRetSTR,0.09246447310968581,5.337988276944291e-05,***,92
FAC_rank_vol_m6_n6_pairwise1,CtrlRetLTM,0.30795954085929167,1.4854339666878433e-34,***,92
FAC_rank_vol_m6_n6_pairwise1,CtrlVol,-0.21563205684943137,5.926064300524246e-18,***,92
FAC_rank_vol_m6_n6_pairwise1,as_偏股混合型基金,0.006163947390009805,0.6214387018796708,,92
FAC_rank_vol_m6_n6_pairwise1,Ctrl_log_fund_size,-0.003913439015869395,0.721478184998191,,92
FAC_rank_vol_m6_n6_pairwise1,Ctrl_fund_age,0.007647053213796464,0.4999745476748596,,92
FAC_rank_vol_m6_n12_pairwise1,CtrlRetSTR,0.016443665163604817,0.5665854581333951,,60
FAC_rank_vol_m6_n12_pairwise1,CtrlRetLTM,0.37779803617210916,2.206810524323923e-32,***,60
FAC_rank_vol_m6_n12_pairwise1,CtrlVol,-0.05592284858409981,0.04174867944470988,**,60
FAC_rank_vol_m6_n12_pairwise1,as_偏股混合型基金,-0.046018529482067055,0.0044859655773437975,***,60
FAC_rank_vol_m6_n12_pairwise1,Ctrl_log_fund_size,0.07641715504355297,2.8377222331210482e-06,***,60
FAC_rank_vol_m6_n12_pairwise1,Ctrl_fund_age,-0.031474757209129095,0.02670343724095419,**,60
FAC_rank_vol_m12_n6_pairwise1,CtrlRetSTR,0.04016783029815493,0.16821463587589144,,60
FAC_rank_vol_m12_n6_pairwise1,CtrlRetLTM,0.12696243260076798,6.976514686448563e-07,***,60
FAC_rank_vol_m12_n6_pairwise1,CtrlVol,-0.2635427921780715,1.9654159596765673e-14,***,60
FAC_rank_vol_m12_n6_pairwise1,as_偏股混合型基金,-0.039110316696797445,1.60708546675693e-05,***,60
FAC_rank_vol_m12_n6_pairwise1,Ctrl_log_fund_size,-0.03258130058591751,0.024743193675168574,**,60
FAC_rank_vol_m12_n6_pairwise1,Ctrl_fund_age,0.010613239995491278,0.30801140674169725,,60
