factor,variable,FAC_rank_vol_m3_n6_pairwise1,CtrlRetSTR,CtrlRetLTM,CtrlVol,as_偏股混合型基金,Ctrl_log_fund_size,Ctrl_fund_age,FAC_rank_vol_m6_n3_pairwise1,FAC_rank_vol_m6_n6_pairwise1,FAC_rank_vol_m6_n12_pairwise1,FAC_rank_vol_m12_n6_pairwise1
FAC_rank_vol_m3_n6_pairwise1,FAC_rank_vol_m3_n6_pairwise1,1.000,0.099,0.265,-0.127,-0.006,0.023,0.017,,,,
FAC_rank_vol_m3_n6_pairwise1,CtrlRetSTR,***,1.000,-0.032,0.009,-0.001,-0.021,-0.026,,,,
FAC_rank_vol_m3_n6_pairwise1,CtrlRetLTM,***,,1.000,0.189,-0.006,0.147,-0.088,,,,
FAC_rank_vol_m3_n6_pairwise1,CtrlVol,***,,***,1.000,-0.034,0.010,-0.090,,,,
FAC_rank_vol_m3_n6_pairwise1,as_偏股混合型基金,,,,***,1.000,0.065,0.350,,,,
FAC_rank_vol_m3_n6_pairwise1,Ctrl_log_fund_size,**,,***,,***,1.000,0.314,,,,
FAC_rank_vol_m3_n6_pairwise1,Ctrl_fund_age,,**,***,***,***,***,1.000,,,,
FAC_rank_vol_m6_n3_pairwise1,FAC_rank_vol_m6_n3_pairwise1,,0.081,0.115,-0.298,0.001,0.009,0.025,1.000,,,
FAC_rank_vol_m6_n3_pairwise1,CtrlRetSTR,,1.000,-0.032,0.011,0.006,-0.018,-0.028,***,,,
FAC_rank_vol_m6_n3_pairwise1,CtrlRetLTM,,,1.000,0.191,-0.009,0.143,-0.091,***,,,
FAC_rank_vol_m6_n3_pairwise1,CtrlVol,,,***,1.000,-0.031,0.009,-0.091,***,,,
FAC_rank_vol_m6_n3_pairwise1,as_偏股混合型基金,,,,***,1.000,0.075,0.357,,,,
FAC_rank_vol_m6_n3_pairwise1,Ctrl_log_fund_size,,,***,,***,1.000,0.317,,,,
FAC_rank_vol_m6_n3_pairwise1,Ctrl_fund_age,,**,***,***,***,***,1.000,***,,,
FAC_rank_vol_m6_n6_pairwise1,FAC_rank_vol_m6_n6_pairwise1,,0.092,0.308,-0.216,0.006,-0.004,0.008,,1.000,,
FAC_rank_vol_m6_n6_pairwise1,CtrlRetSTR,,1.000,-0.023,0.015,0.002,-0.038,-0.024,,***,,
FAC_rank_vol_m6_n6_pairwise1,CtrlRetLTM,,,1.000,0.225,-0.006,0.162,-0.088,,***,,
FAC_rank_vol_m6_n6_pairwise1,CtrlVol,,,***,1.000,-0.047,0.030,-0.073,,***,,
FAC_rank_vol_m6_n6_pairwise1,as_偏股混合型基金,,,,***,1.000,0.063,0.375,,,,
FAC_rank_vol_m6_n6_pairwise1,Ctrl_log_fund_size,,**,***,**,***,1.000,0.303,,,,
FAC_rank_vol_m6_n6_pairwise1,Ctrl_fund_age,,*,***,***,***,***,1.000,,,,
FAC_rank_vol_m6_n12_pairwise1,FAC_rank_vol_m6_n12_pairwise1,,0.016,0.378,-0.056,-0.046,0.076,-0.031,,,1.000,
FAC_rank_vol_m6_n12_pairwise1,CtrlRetSTR,,1.000,-0.053,0.040,-0.021,-0.024,-0.027,,,,
FAC_rank_vol_m6_n12_pairwise1,CtrlRetLTM,,,1.000,0.228,-0.059,0.164,-0.068,,,***,
FAC_rank_vol_m6_n12_pairwise1,CtrlVol,,,***,1.000,-0.069,0.131,-0.069,,,**,
FAC_rank_vol_m6_n12_pairwise1,as_偏股混合型基金,,*,***,***,1.000,0.093,0.502,,,***,
FAC_rank_vol_m6_n12_pairwise1,Ctrl_log_fund_size,,,***,***,***,1.000,0.193,,,***,
FAC_rank_vol_m6_n12_pairwise1,Ctrl_fund_age,,**,***,***,***,***,1.000,,,**,
FAC_rank_vol_m12_n6_pairwise1,FAC_rank_vol_m12_n6_pairwise1,,0.040,0.127,-0.264,-0.039,-0.033,0.011,,,,1.000
FAC_rank_vol_m12_n6_pairwise1,CtrlRetSTR,,1.000,-0.047,0.036,-0.023,-0.023,-0.025,,,,
FAC_rank_vol_m12_n6_pairwise1,CtrlRetLTM,,,1.000,0.236,-0.058,0.161,-0.073,,,,***
FAC_rank_vol_m12_n6_pairwise1,CtrlVol,,,***,1.000,-0.066,0.124,-0.072,,,,***
FAC_rank_vol_m12_n6_pairwise1,as_偏股混合型基金,,*,***,***,1.000,0.097,0.504,,,,***
FAC_rank_vol_m12_n6_pairwise1,Ctrl_log_fund_size,,,***,***,***,1.000,0.198,,,,**
FAC_rank_vol_m12_n6_pairwise1,Ctrl_fund_age,,**,***,***,***,***,1.000,,,,
