ret_col,date,sort_col,economic_group,group_label,sort_mean,portfolio_ret,n_funds
future_ret_6m,2007-09-28 00:00:00,FAC_rank_vol_m3_n6_pairwise1,1,Low,0.675777166065089,,1
future_ret_6m,2007-09-28 00:00:00,FAC_rank_vol_m3_n6_pairwise1,2,Q2,0.8611340698498231,,2
future_ret_6m,2007-09-28 00:00:00,FAC_rank_vol_m3_n6_pairwise1,3,Q3,,,0
future_ret_6m,2007-09-28 00:00:00,FAC_rank_vol_m3_n6_pairwise1,4,Q4,0.8950272237837045,,1
future_ret_6m,2007-09-28 00:00:00,FAC_rank_vol_m3_n6_pairwise1,5,High,0.9947513611891853,,1
future_ret_6m,2007-12-28 00:00:00,FAC_rank_vol_m3_n6_pairwise1,1,Low,0.8102579074711848,,2
future_ret_6m,2007-12-28 00:00:00,FAC_rank_vol_m3_n6_pairwise1,2,Q2,0.8927515313409717,,1
future_ret_6m,2007-12-28 00:00:00,FAC_rank_vol_m3_n6_pairwise1,3,Q3,0.9086755566972918,,1
future_ret_6m,2007-12-28 00:00:00,FAC_rank_vol_m3_n6_pairwise1,4,Q4,0.9175635771244237,,1
future_ret_6m,2007-12-28 00:00:00,FAC_rank_vol_m3_n6_pairwise1,5,High,0.9918091655987519,,1
future_ret_6m,2008-03-31 00:00:00,FAC_rank_vol_m3_n6_pairwise1,1,Low,0.7587388702279788,,2
future_ret_6m,2008-03-31 00:00:00,FAC_rank_vol_m3_n6_pairwise1,2,Q2,0.8410101330971758,,1
future_ret_6m,2008-03-31 00:00:00,FAC_rank_vol_m3_n6_pairwise1,3,Q3,0.8612222667022578,,1
future_ret_6m,2008-03-31 00:00:00,FAC_rank_vol_m3_n6_pairwise1,4,Q4,0.8981649845565369,,2
future_ret_6m,2008-03-31 00:00:00,FAC_rank_vol_m3_n6_pairwise1,5,High,0.9653055666755644,,1
future_ret_6m,2008-06-30 00:00:00,FAC_rank_vol_m3_n6_pairwise1,1,Low,0.6951214710460899,,2
future_ret_6m,2008-06-30 00:00:00,FAC_rank_vol_m3_n6_pairwise1,2,Q2,0.8007850769557376,,2
future_ret_6m,2008-06-30 00:00:00,FAC_rank_vol_m3_n6_pairwise1,3,Q3,0.8602570104329467,,2
future_ret_6m,2008-06-30 00:00:00,FAC_rank_vol_m3_n6_pairwise1,4,Q4,0.9323476299507458,,2
future_ret_6m,2008-06-30 00:00:00,FAC_rank_vol_m3_n6_pairwise1,5,High,0.9635417012826402,,2
future_ret_6m,2008-09-26 00:00:00,FAC_rank_vol_m3_n6_pairwise1,1,Low,0.7634683200312656,,3
future_ret_6m,2008-09-26 00:00:00,FAC_rank_vol_m3_n6_pairwise1,2,Q2,0.8611784812435176,,2
future_ret_6m,2008-09-26 00:00:00,FAC_rank_vol_m3_n6_pairwise1,3,Q3,0.9191759311898003,,3
future_ret_6m,2008-09-26 00:00:00,FAC_rank_vol_m3_n6_pairwise1,4,Q4,0.9430383154366647,,2
future_ret_6m,2008-09-26 00:00:00,FAC_rank_vol_m3_n6_pairwise1,5,High,0.9699540175705589,,3
future_ret_6m,2008-12-31 00:00:00,FAC_rank_vol_m3_n6_pairwise1,1,Low,0.7872388969235168,,4
future_ret_6m,2008-12-31 00:00:00,FAC_rank_vol_m3_n6_pairwise1,2,Q2,0.8861743335340938,,3
future_ret_6m,2008-12-31 00:00:00,FAC_rank_vol_m3_n6_pairwise1,3,Q3,0.9242669024119388,,3
future_ret_6m,2008-12-31 00:00:00,FAC_rank_vol_m3_n6_pairwise1,4,Q4,0.9445267095943484,,3
future_ret_6m,2008-12-31 00:00:00,FAC_rank_vol_m3_n6_pairwise1,5,High,0.9894333468278915,,4
future_ret_6m,2009-03-31 00:00:00,FAC_rank_vol_m3_n6_pairwise1,1,Low,0.6771694996905652,,4
future_ret_6m,2009-03-31 00:00:00,FAC_rank_vol_m3_n6_pairwise1,2,Q2,0.8010414689358321,,3
future_ret_6m,2009-03-31 00:00:00,FAC_rank_vol_m3_n6_pairwise1,3,Q3,0.8994204945487935,,3
future_ret_6m,2009-03-31 00:00:00,FAC_rank_vol_m3_n6_pairwise1,4,Q4,0.9309919708324449,,3
future_ret_6m,2009-03-31 00:00:00,FAC_rank_vol_m3_n6_pairwise1,5,High,0.9440633482647022,,3
future_ret_6m,2009-06-30 00:00:00,FAC_rank_vol_m3_n6_pairwise1,1,Low,0.7680894506822671,,4
future_ret_6m,2009-06-30 00:00:00,FAC_rank_vol_m3_n6_pairwise1,2,Q2,0.8608260056763981,,4
future_ret_6m,2009-06-30 00:00:00,FAC_rank_vol_m3_n6_pairwise1,3,Q3,0.908178448450529,,4
future_ret_6m,2009-06-30 00:00:00,FAC_rank_vol_m3_n6_pairwise1,4,Q4,0.9348956013880614,,4
future_ret_6m,2009-06-30 00:00:00,FAC_rank_vol_m3_n6_pairwise1,5,High,0.9641274420710106,,4
future_ret_6m,2009-09-30 00:00:00,FAC_rank_vol_m3_n6_pairwise1,1,Low,0.7332556186161395,0.14897593557371863,5
future_ret_6m,2009-09-30 00:00:00,FAC_rank_vol_m3_n6_pairwise1,2,Q2,0.8504842459000151,,4
future_ret_6m,2009-09-30 00:00:00,FAC_rank_vol_m3_n6_pairwise1,3,Q3,0.8850122590190177,0.12232732782016412,5
future_ret_6m,2009-09-30 00:00:00,FAC_rank_vol_m3_n6_pairwise1,4,Q4,0.9178017494450101,,4
future_ret_6m,2009-09-30 00:00:00,FAC_rank_vol_m3_n6_pairwise1,5,High,0.9731309175449319,0.12013786312311096,5
future_ret_6m,2009-12-31 00:00:00,FAC_rank_vol_m3_n6_pairwise1,1,Low,0.7009717707359208,-0.2045051242682802,6
future_ret_6m,2009-12-31 00:00:00,FAC_rank_vol_m3_n6_pairwise1,2,Q2,0.8311790001501356,-0.20795033157347062,6
future_ret_6m,2009-12-31 00:00:00,FAC_rank_vol_m3_n6_pairwise1,3,Q3,0.9096194370592746,-0.19231631485808023,5
future_ret_6m,2009-12-31 00:00:00,FAC_rank_vol_m3_n6_pairwise1,4,Q4,0.9385025385757038,-0.17935457645833244,6
future_ret_6m,2009-12-31 00:00:00,FAC_rank_vol_m3_n6_pairwise1,5,High,0.9840112169156937,-0.16997833162687628,6
future_ret_6m,2010-03-31 00:00:00,FAC_rank_vol_m3_n6_pairwise1,1,Low,0.7726741137868265,-0.00031817340242760544,6
future_ret_6m,2010-03-31 00:00:00,FAC_rank_vol_m3_n6_pairwise1,2,Q2,0.842649005025089,0.03585643485943172,6
future_ret_6m,2010-03-31 00:00:00,FAC_rank_vol_m3_n6_pairwise1,3,Q3,0.8894767921278767,0.06694689478861875,6
future_ret_6m,2010-03-31 00:00:00,FAC_rank_vol_m3_n6_pairwise1,4,Q4,0.9214241052624578,-0.006770066740629355,6
future_ret_6m,2010-03-31 00:00:00,FAC_rank_vol_m3_n6_pairwise1,5,High,0.96061792710303,-0.0024660877215858155,6
future_ret_6m,2010-06-30 00:00:00,FAC_rank_vol_m3_n6_pairwise1,1,Low,0.8275868976913321,0.25045156166511295,6
future_ret_6m,2010-06-30 00:00:00,FAC_rank_vol_m3_n6_pairwise1,2,Q2,0.8915831030559968,0.24751676871692094,5
future_ret_6m,2010-06-30 00:00:00,FAC_rank_vol_m3_n6_pairwise1,3,Q3,0.9153025194113972,0.3062403517927682,6
future_ret_6m,2010-06-30 00:00:00,FAC_rank_vol_m3_n6_pairwise1,4,Q4,0.9589452324627347,0.3007085967723139,5
future_ret_6m,2010-06-30 00:00:00,FAC_rank_vol_m3_n6_pairwise1,5,High,0.9935538414535271,0.289661124471806,6
future_ret_6m,2010-09-30 00:00:00,FAC_rank_vol_m3_n6_pairwise1,1,Low,0.857804667484373,0.02139146820128333,6
future_ret_6m,2010-09-30 00:00:00,FAC_rank_vol_m3_n6_pairwise1,2,Q2,0.9283006877546703,0.006503019783607992,6
future_ret_6m,2010-09-30 00:00:00,FAC_rank_vol_m3_n6_pairwise1,3,Q3,0.95528407288242,0.01978975505347384,6
future_ret_6m,2010-09-30 00:00:00,FAC_rank_vol_m3_n6_pairwise1,4,Q4,0.9768434452623672,0.03368529698942916,6
future_ret_6m,2010-09-30 00:00:00,FAC_rank_vol_m3_n6_pairwise1,5,High,0.9897785268730864,0.006762396026807949,6
future_ret_6m,2010-12-31 00:00:00,FAC_rank_vol_m3_n6_pairwise1,1,Low,0.75954510381821,-0.09483898372984972,6
future_ret_6m,2010-12-31 00:00:00,FAC_rank_vol_m3_n6_pairwise1,2,Q2,0.8380022002070996,-0.08786237507930629,6
future_ret_6m,2010-12-31 00:00:00,FAC_rank_vol_m3_n6_pairwise1,3,Q3,0.8771897699075627,-0.061732859219680226,6
future_ret_6m,2010-12-31 00:00:00,FAC_rank_vol_m3_n6_pairwise1,4,Q4,0.9470791963291192,-0.09518842932938437,6
future_ret_6m,2010-12-31 00:00:00,FAC_rank_vol_m3_n6_pairwise1,5,High,0.975058044563847,-0.06908780413276523,6
future_ret_6m,2011-03-31 00:00:00,FAC_rank_vol_m3_n6_pairwise1,1,Low,0.7784459448860405,-0.13870331873872396,7
future_ret_6m,2011-03-31 00:00:00,FAC_rank_vol_m3_n6_pairwise1,2,Q2,0.875187680544191,-0.16483685103946938,6
future_ret_6m,2011-03-31 00:00:00,FAC_rank_vol_m3_n6_pairwise1,3,Q3,0.9173931588251362,-0.14797066522679733,6
future_ret_6m,2011-03-31 00:00:00,FAC_rank_vol_m3_n6_pairwise1,4,Q4,0.9575506105479491,-0.13955101597345584,6
future_ret_6m,2011-03-31 00:00:00,FAC_rank_vol_m3_n6_pairwise1,5,High,0.9783689590893373,-0.16536129659561,6
future_ret_6m,2011-06-30 00:00:00,FAC_rank_vol_m3_n6_pairwise1,1,Low,0.7703250449025401,-0.18166292827538708,7
future_ret_6m,2011-06-30 00:00:00,FAC_rank_vol_m3_n6_pairwise1,2,Q2,0.8850799591078432,-0.1721143470926567,7
future_ret_6m,2011-06-30 00:00:00,FAC_rank_vol_m3_n6_pairwise1,3,Q3,0.9176385708113348,-0.18198668236908108,6
future_ret_6m,2011-06-30 00:00:00,FAC_rank_vol_m3_n6_pairwise1,4,Q4,0.9497200197643924,-0.18709789123725157,7
future_ret_6m,2011-06-30 00:00:00,FAC_rank_vol_m3_n6_pairwise1,5,High,0.9744903010380226,-0.19781845131913772,7
