ret_col,date,n_total,n_sort_missing,n_ret_missing,require_ret_before_sort,n_before_sort,n_weight_missing_or_nonpositive,n_after_weight_filter,group_1_n,group_2_n,group_3_n,group_4_n,group_5_n
future_ret_6m,2005-06-30 00:00:00,1,0,0,True,1,0,1,0,0,0,0,0
future_ret_6m,2005-09-30 00:00:00,1,0,0,True,1,0,1,0,0,0,0,0
future_ret_6m,2005-12-30 00:00:00,2,0,0,True,2,0,2,0,0,0,0,0
future_ret_6m,2006-03-31 00:00:00,2,0,0,True,2,0,2,0,0,0,0,0
future_ret_6m,2006-06-30 00:00:00,3,0,0,True,3,0,3,0,0,0,0,0
future_ret_6m,2006-09-29 00:00:00,3,0,0,True,3,0,3,0,0,0,0,0
future_ret_6m,2006-12-29 00:00:00,4,0,0,True,4,0,4,0,0,0,0,0
future_ret_6m,2007-03-30 00:00:00,4,0,0,True,4,0,4,0,0,0,0,0
future_ret_6m,2007-06-29 00:00:00,3,0,0,True,3,0,3,0,0,0,0,0
future_ret_6m,2007-09-28 00:00:00,6,0,0,True,6,0,6,2,1,1,1,1
future_ret_6m,2007-12-28 00:00:00,7,0,0,True,7,0,7,2,1,1,1,2
future_ret_6m,2008-03-31 00:00:00,8,0,0,True,8,0,8,2,1,2,2,1
future_ret_6m,2008-06-30 00:00:00,10,0,0,True,10,0,10,2,2,2,2,2
future_ret_6m,2008-09-26 00:00:00,13,0,0,True,13,0,13,3,2,3,2,3
future_ret_6m,2008-12-31 00:00:00,18,0,0,True,18,0,18,4,3,4,3,4
future_ret_6m,2009-03-31 00:00:00,17,0,0,True,17,0,17,4,3,3,3,4
future_ret_6m,2009-06-30 00:00:00,22,0,0,True,22,0,22,5,4,4,4,5
future_ret_6m,2009-09-30 00:00:00,24,0,0,True,24,0,24,5,5,4,5,5
future_ret_6m,2009-12-31 00:00:00,30,0,0,True,30,0,30,6,6,6,6,6
future_ret_6m,2010-03-31 00:00:00,30,0,0,True,30,0,30,6,6,6,6,6
future_ret_6m,2010-06-30 00:00:00,29,0,0,True,29,0,29,6,6,5,6,6
future_ret_6m,2010-09-30 00:00:00,30,0,0,True,30,0,30,6,6,6,6,6
future_ret_6m,2010-12-31 00:00:00,31,0,0,True,31,0,31,7,6,6,6,6
future_ret_6m,2011-03-31 00:00:00,32,0,0,True,32,0,32,7,6,6,6,7
future_ret_6m,2011-06-30 00:00:00,35,0,0,True,35,0,35,7,7,7,7,7
future_ret_6m,2011-09-30 00:00:00,39,0,0,True,39,0,39,8,8,7,8,8
future_ret_6m,2011-12-30 00:00:00,40,0,0,True,40,0,40,8,8,8,8,8
future_ret_6m,2012-03-30 00:00:00,41,0,0,True,41,0,41,9,8,8,8,8
future_ret_6m,2012-06-29 00:00:00,45,0,0,True,45,0,45,9,9,9,9,9
future_ret_6m,2012-09-28 00:00:00,52,0,0,True,52,0,52,11,10,10,10,11
future_ret_6m,2012-12-31 00:00:00,59,0,0,True,59,0,59,12,12,11,12,12
future_ret_6m,2013-03-29 00:00:00,62,0,0,True,62,0,62,13,12,12,12,13
future_ret_6m,2013-06-28 00:00:00,63,0,0,True,63,0,63,13,12,13,12,13
future_ret_6m,2013-09-30 00:00:00,67,0,0,True,67,0,67,14,13,13,13,14
future_ret_6m,2013-12-31 00:00:00,71,0,0,True,71,0,71,15,14,14,14,14
