sort_col,ret_col,portfolio,n_periods
FAC_rank_vol_m3_n6_pairwise1,future_ret_6m,Low,53
FAC_rank_vol_m3_n6_pairwise1,future_ret_6m,Q2,52
FAC_rank_vol_m3_n6_pairwise1,future_ret_6m,Q3,51
FAC_rank_vol_m3_n6_pairwise1,future_ret_6m,Q4,52
FAC_rank_vol_m3_n6_pairwise1,future_ret_6m,High,53
FAC_rank_vol_m3_n6_pairwise1,future_ret_6m,High-Low,53
FAC_rank_vol_m6_n3_pairwise1,future_ret_6m,Low,53
FAC_rank_vol_m6_n3_pairwise1,future_ret_6m,Q2,52
FAC_rank_vol_m6_n3_pairwise1,future_ret_6m,Q3,51
FAC_rank_vol_m6_n3_pairwise1,future_ret_6m,Q4,52
FAC_rank_vol_m6_n3_pairwise1,future_ret_6m,High,53
FAC_rank_vol_m6_n3_pairwise1,future_ret_6m,High-Low,53
FAC_rank_vol_m6_n6_pairwise1,future_ret_6m,Low,51
FAC_rank_vol_m6_n6_pairwise1,future_ret_6m,Q2,50
FAC_rank_vol_m6_n6_pairwise1,future_ret_6m,Q3,51
FAC_rank_vol_m6_n6_pairwise1,future_ret_6m,Q4,50
FAC_rank_vol_m6_n6_pairwise1,future_ret_6m,High,51
FAC_rank_vol_m6_n6_pairwise1,future_ret_6m,High-Low,51
FAC_rank_vol_m6_n12_pairwise1,future_ret_6m,Low,44
FAC_rank_vol_m6_n12_pairwise1,future_ret_6m,Q2,42
FAC_rank_vol_m6_n12_pairwise1,future_ret_6m,Q3,40
FAC_rank_vol_m6_n12_pairwise1,future_ret_6m,Q4,42
FAC_rank_vol_m6_n12_pairwise1,future_ret_6m,High,43
FAC_rank_vol_m6_n12_pairwise1,future_ret_6m,High-Low,43
FAC_rank_vol_m12_n6_pairwise1,future_ret_6m,Low,44
FAC_rank_vol_m12_n6_pairwise1,future_ret_6m,Q2,42
FAC_rank_vol_m12_n6_pairwise1,future_ret_6m,Q3,40
FAC_rank_vol_m12_n6_pairwise1,future_ret_6m,Q4,42
FAC_rank_vol_m12_n6_pairwise1,future_ret_6m,High,43
FAC_rank_vol_m12_n6_pairwise1,future_ret_6m,High-Low,43
